Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
61,3.07,14.64,0.41,6.87,19.66,5.00,0.49,14.00,44.56,7.92,16.98,0.09,0.00,0.00,0.00,84.98
62,2.90,13.71,0.40,11.17,17.59,9.00,0.24,14.00,32.76,9.31,16.39,0.06,0.00,0.00,0.00,82.04
63,4.48,19.94,0.35,5.41,21.62,5.00,0.80,16.00,42.39,8.55,22.45,0.17,0.00,0.00,0.00,91.04
64,4.50,22.63,0.13,3.82,18.28,3.00,0.69,20.00,34.72,6.16,24.96,0.12,0.00,0.00,0.00,87.28
65,24.40,102.49,0.23,5.80,16.63,4.00,0.21,47.00,37.83,7.67,109.74,0.05,0.00,0.00,0.00,108.04
66,5.69,24.54,0.22,4.47,19.72,3.00,0.41,20.00,42.50,6.96,27.40,0.07,0.00,0.00,0.00,96.03
67,7.01,34.45,0.26,6.15,17.53,4.00,0.44,24.00,39.18,7.50,33.22,0.06,0.00,0.00,0.00,83.97
68,4.74,20.76,0.49,9.39,21.11,7.00,0.46,15.00,40.70,11.88,22.97,0.11,0.00,0.00,0.00,90.51
69,7.61,34.68,0.12,3.07,23.89,3.00,0.87,25.00,34.21,6.07,39.27,0.17,0.00,0.00,0.00,94.40
70,9.77,39.69,0.43,8.06,26.33,4.00,0.84,33.00,48.18,10.09,44.75,0.16,0.00,0.00,0.00,100.74
71,16.73,68.23,0.25,4.95,23.65,4.00,0.55,41.00,38.06,6.63,73.25,0.10,0.00,0.00,0.00,97.92
72,13.50,57.21,0.33,5.63,21.79,5.00,0.46,37.00,42.65,8.52,54.96,0.10,0.00,0.00,0.00,98.05
73,5.37,24.73,0.31,5.30,21.28,5.00,0.44,19.00,38.22,7.07,27.13,0.10,0.00,0.00,0.00,87.66
74,6.23,28.85,0.26,5.73,18.28,6.00,0.59,20.00,30.61,6.73,32.33,0.13,0.00,0.00,0.00,90.95
75,2.49,12.50,0.23,5.61,20.82,3.00,0.59,11.00,41.41,8.72,16.49,0.13,0.00,0.00,0.00,86.37
76,6.37,26.02,0.73,11.71,20.95,7.00,0.56,24.00,52.32,12.72,30.94,0.10,0.00,0.00,0.00,90.80
77,10.33,44.31,0.27,4.69,21.21,3.00,0.69,34.00,39.97,8.37,48.00,0.15,0.00,0.00,0.00,98.75
78,3.81,20.55,0.19,4.24,23.88,3.00,0.46,25.00,33.12,7.09,23.26,0.07,0.00,0.00,0.00,93.82
79,10.82,45.00,0.44,8.16,22.01,4.00,0.39,27.00,45.58,10.86,47.62,0.08,0.00,0.00,0.00,100.16
80,2.86,16.37,0.27,5.90,17.58,4.00,0.35,12.00,37.22,7.02,18.72,0.07,0.00,0.00,0.00,87.40
81,6.16,29.50,0.41,5.65,23.52,6.00,0.74,28.00,51.11,9.19,31.43,0.15,0.00,0.00,0.00,91.05
82,7.27,30.84,0.25,6.79,21.01,6.00,0.43,22.00,35.20,7.41,34.84,0.08,0.00,0.00,0.00,100.26
83,4.61,19.74,0.47,8.69,24.10,6.00,0.50,16.00,49.63,10.10,23.89,0.11,0.00,0.00,0.00,92.95
84,6.27,30.86,0.43,6.82,20.11,4.00,0.46,19.00,48.05,8.78,31.24,0.08,0.00,0.00,0.00,90.59
85,5.91,29.22,0.22,4.76,14.95,4.00,0.38,21.00,38.76,7.86,30.70,0.07,0.00,0.00,0.00,86.54
86,9.68,43.88,0.28,5.76,20.41,5.00,0.28,33.00,39.73,7.40,55.52,0.06,0.00,0.00,0.00,96.94
87,6.98,28.43,0.44,5.87,25.11,5.00,0.72,23.00,43.98,9.69,32.80,0.16,0.00,0.00,0.00,97.18
88,11.64,45.81,0.37,8.06,22.88,5.00,0.63,29.00,39.71,9.98,51.71,0.10,0.00,0.00,0.00,101.15
89,3.49,17.13,0.43,7.59,18.88,5.00,0.51,16.00,43.33,9.99,20.27,0.10,0.00,0.00,0.00,84.92
90,2.90,15.33,0.19,4.22,18.94,4.00,0.37,13.00,40.76,7.92,16.87,0.08,0.00,0.00,0.00,82.84
91,3.43,15.18,0.12,3.97,17.22,4.00,0.20,13.00,35.53,5.62,18.33,0.05,0.00,0.00,0.00,92.75
92,12.10,53.76,0.26,4.00,18.62,5.00,0.35,43.00,40.96,6.81,58.61,0.07,0.00,0.00,0.00,100.41
93,7.12,29.25,0.18,4.77,22.24,3.00,0.47,24.00,36.53,7.45,32.29,0.13,0.00,0.00,0.00,97.02
94,3.34,17.21,0.30,5.83,17.70,6.00,0.20,16.00,37.30,7.14,19.44,0.04,0.00,0.00,0.00,81.75
95,8.50,34.39,0.15,5.07,20.09,4.00,0.41,21.00,33.41,6.35,39.40,0.08,0.00,0.00,0.00,102.08
96,6.37,29.70,0.22,3.79,23.47,3.00,0.39,22.00,34.86,6.36,31.83,0.08,0.00,0.00,0.00,90.54
97,23.95,87.76,0.50,9.59,18.41,6.00,0.27,39.00,46.04,10.95,88.38,0.06,0.00,0.00,0.00,105.41
98,7.44,33.99,0.19,3.67,18.43,3.00,0.25,23.00,31.73,6.46,34.11,0.07,0.00,0.00,0.00,89.89
99,7.71,30.88,0.34,6.83,21.53,5.00,0.40,25.00,42.85,8.81,35.88,0.08,0.00,0.00,0.00,98.66
100,4.43,21.84,0.34,6.83,18.52,5.00,0.26,18.00,41.42,7.83,25.36,0.06,0.00,0.00,0.00,84.97
101,8.36,36.56,0.23,4.53,18.36,3.00,0.47,33.00,43.79,8.13,35.97,0.11,0.00,0.00,0.00,88.20
102,4.68,21.50,0.42,7.13,20.34,4.00,0.63,18.00,47.82,9.98,23.80,0.11,0.00,0.00,0.00,84.90
103,24.19,114.17,0.24,5.24,20.53,5.00,0.44,52.00,37.76,9.00,117.10,0.08,0.00,0.00,0.00,108.67
104,3.49,18.07,0.52,6.64,21.84,4.00,0.45,16.00,47.84,9.86,21.78,0.11,0.00,0.00,0.00,88.67
