Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,35.61,148.82,0.11,4.39,22.89,4.00,0.61,61.00,31.39,7.75,153.54,0.11,0.00,0.00,0.00,109.41
2,31.03,138.09,0.33,7.05,24.92,6.00,0.44,68.00,33.61,7.71,158.29,0.08,0.00,0.00,0.00,117.10
3,5.00,23.48,0.26,4.60,19.23,4.00,0.51,16.00,43.53,6.88,25.78,0.08,0.00,0.00,0.00,85.91
4,2.77,15.69,0.23,5.12,17.88,4.00,0.60,16.00,34.76,7.14,17.52,0.13,0.00,0.00,0.00,79.03
5,2.57,13.28,0.43,7.80,20.54,5.00,0.51,11.00,43.10,9.43,16.31,0.11,0.00,0.00,0.00,81.60
6,4.01,16.37,0.28,4.87,22.34,4.00,1.09,14.00,44.20,8.27,20.59,0.21,0.00,0.00,0.00,90.90
7,24.31,100.68,0.37,7.71,21.22,5.00,0.25,53.00,39.35,7.33,111.20,0.06,0.00,0.00,0.00,108.92
8,11.16,60.88,0.77,11.03,22.46,8.00,0.49,37.00,46.92,10.33,61.48,0.09,0.00,0.00,0.00,95.96
9,11.74,45.89,0.52,7.00,21.52,6.00,0.41,28.00,40.98,8.83,49.89,0.10,0.00,0.00,0.00,100.85
10,6.02,26.98,0.18,4.81,19.62,3.00,0.32,18.00,35.00,8.26,31.30,0.07,0.00,0.00,0.00,91.56
11,15.95,70.18,0.28,4.53,20.90,5.00,0.39,33.00,35.54,6.59,75.46,0.11,0.00,0.00,0.00,99.16
12,8.66,35.88,0.10,3.86,23.75,3.00,0.56,28.00,37.06,7.90,38.66,0.13,0.00,0.00,0.00,101.01
13,8.90,36.51,0.46,9.41,20.61,7.00,0.70,28.00,39.22,10.34,38.25,0.14,0.00,0.00,0.00,94.04
14,7.69,33.37,0.25,6.05,21.84,4.00,0.60,23.00,39.80,7.84,35.61,0.14,0.00,0.00,0.00,99.05
15,7.49,34.14,0.62,8.72,21.77,6.00,0.39,17.00,47.77,11.46,35.20,0.09,0.00,0.00,0.00,93.53
16,8.21,33.09,0.39,8.78,21.39,7.00,0.58,30.00,38.64,10.46,37.02,0.11,0.00,0.00,0.00,92.07
17,8.53,35.27,0.22,4.82,19.75,4.00,0.48,22.00,38.08,6.57,42.07,0.10,0.00,0.00,0.00,98.07
18,2.85,14.34,0.57,7.60,21.36,8.00,0.57,13.00,46.88,10.15,18.06,0.12,0.00,0.00,0.00,81.72
19,4.41,18.41,0.30,6.11,24.66,4.00,0.55,18.00,37.39,8.46,22.92,0.12,0.00,0.00,0.00,90.41
20,5.78,25.38,0.38,7.49,21.20,6.00,0.67,16.00,37.51,8.94,28.01,0.16,0.00,0.00,0.00,92.13
21,26.36,111.93,0.35,6.68,22.77,4.00,0.73,48.00,47.20,8.37,114.90,0.17,0.00,0.00,0.00,99.19
22,5.04,21.20,0.27,5.35,19.95,4.00,0.66,15.00,38.79,6.96,26.95,0.12,0.00,0.00,0.00,94.53
23,5.62,26.23,0.64,7.71,19.40,6.00,0.66,21.00,51.95,9.77,26.19,0.11,0.00,0.00,0.00,89.29
24,4.44,19.55,0.18,3.61,21.11,3.00,0.51,20.00,35.58,7.17,22.41,0.08,0.00,0.00,0.00,89.46
25,7.39,30.31,0.41,10.13,21.10,5.00,0.30,20.00,39.26,9.02,34.73,0.06,0.00,0.00,0.00,95.87
26,8.53,37.59,0.28,5.53,22.60,4.00,0.78,29.00,35.81,7.23,41.17,0.13,0.00,0.00,0.00,93.64
27,4.16,19.07,0.32,7.23,18.76,6.00,0.29,14.00,39.92,7.02,21.37,0.06,0.00,0.00,0.00,85.04
28,9.99,40.10,0.37,6.36,21.47,3.00,0.41,26.00,43.89,7.72,40.94,0.10,0.00,0.00,0.00,97.75
29,4.23,20.39,0.27,5.96,18.75,5.00,0.27,22.00,43.65,7.39,23.12,0.07,0.00,0.00,0.00,83.90
30,6.50,29.00,0.46,7.87,15.85,6.00,0.36,23.00,37.00,9.23,29.91,0.08,0.00,0.00,0.00,92.17
31,6.74,29.53,0.32,6.48,21.71,5.00,0.54,32.00,39.34,8.60,29.24,0.12,0.00,0.00,0.00,94.45
32,3.11,14.94,0.37,5.36,19.62,4.00,0.26,13.00,45.74,8.28,17.33,0.07,0.00,0.00,0.00,86.35
33,6.41,27.57,0.39,6.34,20.02,5.00,0.30,21.00,43.03,8.71,29.76,0.06,0.00,0.00,0.00,91.05
34,5.37,24.22,0.27,4.96,21.96,3.00,0.84,20.00,41.49,8.31,26.90,0.19,0.00,0.00,0.00,89.78
35,4.05,18.24,0.24,5.75,18.75,4.00,0.32,16.00,39.22,6.28,21.02,0.06,0.00,0.00,0.00,92.39
36,7.03,28.48,0.39,9.11,20.33,7.00,0.53,17.00,43.53,10.08,34.24,0.15,0.00,0.00,0.00,91.26
37,3.52,17.67,0.30,4.90,20.98,4.00,0.41,19.00,37.52,6.70,17.71,0.08,0.00,0.00,0.00,79.96
38,6.50,30.03,0.35,6.17,18.71,5.00,0.51,20.00,41.00,8.61,34.94,0.12,0.00,0.00,0.00,91.14
39,4.15,17.37,0.33,6.69,19.27,5.00,0.54,16.00,45.36,8.73,20.99,0.11,0.00,0.00,0.00,91.16
40,6.12,25.57,0.16,4.97,18.37,3.00,0.27,21.00,31.32,7.06,27.75,0.04,0.00,0.00,0.00,95.73
41,7.58,36.18,0.27,5.58,19.58,4.00,0.35,27.00,35.52,7.93,39.13,0.08,0.00,0.00,0.00,100.00
42,2.97,13.11,0.32,6.88,20.72,6.00,0.44,9.00,41.32,7.96,16.44,0.09,0.00,0.00,0.00,87.76
43,7.17,31.42,0.42,7.82,19.49,6.00,0.47,23.00,45.08,8.37,33.89,0.10,0.00,0.00,0.00,94.80
44,13.83,49.67,0.26,5.46,19.72,3.00,0.28,24.00,41.60,8.67,54.89,0.07,0.00,0.00,0.00,105.47
45,5.09,25.06,0.53,8.99,26.70,6.00,1.28,20.00,42.49,9.62,27.57,0.27,0.00,0.00,0.00,87.84
46,4.77,22.00,0.19,3.98,19.00,3.00,0.66,15.00,40.59,7.49,23.63,0.14,0.00,0.00,0.00,89.67
47,13.96,56.62,0.13,4.84,20.70,3.00,0.68,31.00,30.65,7.65,63.09,0.12,0.00,0.00,0.00,103.75
48,5.25,23.48,0.33,5.74,18.74,5.00,0.49,19.00,35.92,7.67,27.54,0.11,0.00,0.00,0.00,89.00
49,3.86,18.67,0.36,6.36,19.48,5.00,0.62,14.00,43.50,8.32,22.64,0.10,0.00,0.00,0.00,88.56
50,11.74,48.08,0.24,6.50,22.40,3.00,0.64,27.00,38.94,7.10,48.24,0.15,0.00,0.00,0.00,97.28
51,10.68,42.86,0.32,6.32,19.45,5.00,0.67,31.00,37.55,6.49,46.14,0.15,0.00,0.00,0.00,96.70
52,1.94,10.47,0.29,6.11,19.40,4.00,0.24,9.00,36.66,7.45,12.95,0.05,0.00,0.00,0.00,73.51
53,14.30,55.58,0.49,12.17,22.63,7.00,0.50,31.00,40.98,11.96,63.31,0.08,0.00,0.00,0.00,102.10
54,5.97,27.28,0.18,5.22,23.04,3.00,0.40,24.00,42.52,7.97,28.69,0.09,0.00,0.00,0.00,86.44
55,20.01,86.49,0.31,6.30,25.08,6.00,0.45,41.00,39.50,7.78,93.30,0.10,0.00,0.00,0.00,106.21
56,10.15,49.52,0.32,8.16,19.82,5.00,0.41,43.00,38.84,7.83,53.51,0.08,0.00,0.00,0.00,101.72
57,5.87,24.24,0.31,7.12,18.88,5.00,0.18,21.00,36.93,7.23,28.54,0.04,0.00,0.00,0.00,97.58
58,10.81,44.04,0.24,5.86,20.45,5.00,0.28,31.00,39.52,7.64,50.95,0.06,0.00,0.00,0.00,98.74
59,10.24,42.94,0.30,6.54,22.80,5.00,0.62,26.00,45.87,7.49,44.98,0.15,0.00,0.00,0.00,96.06
60,4.31,18.86,0.23,5.02,19.81,4.00,0.39,17.00,33.15,6.79,20.06,0.09,0.00,0.00,0.00,88.69
61,14.54,58.66,0.29,5.29,18.85,4.00,0.33,33.00,42.19,6.98,56.66,0.07,0.00,0.00,0.00,93.62
62,10.57,43.18,0.16,3.38,18.80,3.00,0.53,36.00,35.51,6.90,50.33,0.09,0.00,0.00,0.00,102.14
63,11.38,45.64,0.18,4.37,21.85,3.00,0.78,31.00,33.13,7.14,50.38,0.14,0.00,0.00,0.00,99.54
64,2.17,11.99,0.14,4.55,19.59,3.00,0.47,10.00,35.29,6.27,14.70,0.08,0.00,0.00,0.00,80.86
65,3.80,15.54,0.09,3.44,18.31,2.00,0.56,14.00,28.75,6.61,19.29,0.11,0.00,0.00,0.00,87.94
66,9.83,40.08,0.17,5.26,23.46,4.00,0.91,27.00,32.24,7.51,45.48,0.17,0.00,0.00,0.00,96.99
67,4.69,20.93,0.46,6.98,20.04,4.00,0.64,20.00,48.79,11.31,23.78,0.10,0.00,0.00,0.00,86.87
68,21.98,86.88,0.32,4.98,24.28,4.00,0.63,50.00,49.68,8.84,88.40,0.13,0.00,0.00,0.00,98.27
