Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
69,4.53,19.39,0.31,7.21,21.94,5.00,0.53,16.00,40.42,8.26,22.71,0.10,0.00,0.00,0.00,87.05
70,13.42,58.71,0.16,3.59,18.61,3.00,0.71,29.00,38.50,7.63,58.57,0.14,0.00,0.00,0.00,100.05
71,6.51,31.47,0.70,8.46,18.10,6.00,0.44,28.00,51.47,9.22,34.35,0.09,0.00,0.00,0.00,94.45
72,10.10,40.45,0.34,5.80,16.80,6.00,0.33,27.00,39.11,6.21,41.55,0.08,0.00,0.00,0.00,94.99
73,4.94,21.29,0.27,5.04,20.37,4.00,0.32,16.00,42.34,8.89,24.85,0.09,0.00,0.00,0.00,91.91
74,4.27,17.70,0.19,5.35,21.31,3.00,0.69,15.00,36.89,8.25,21.44,0.12,0.00,0.00,0.00,92.13
75,14.82,65.00,0.28,5.68,23.10,4.00,0.41,34.00,41.30,8.90,64.88,0.07,0.00,0.00,0.00,104.07
76,4.43,20.21,0.30,5.25,21.71,4.00,0.37,18.00,41.77,8.53,23.59,0.07,0.00,0.00,0.00,82.78
77,5.71,28.38,0.22,4.67,18.71,4.00,0.48,24.00,39.58,6.53,28.23,0.09,0.00,0.00,0.00,91.61
78,10.41,41.75,0.35,6.17,24.82,5.00,0.80,26.00,35.62,8.64,46.40,0.16,0.00,0.00,0.00,89.02
79,3.12,15.24,0.21,5.24,18.99,5.00,0.29,12.00,33.82,7.26,17.86,0.06,0.00,0.00,0.00,80.71
80,2.85,13.49,0.29,6.16,20.57,3.00,0.37,11.00,41.89,9.27,17.26,0.07,0.00,0.00,0.00,84.53
81,7.41,27.46,0.24,5.14,22.33,4.00,0.70,20.00,37.68,8.34,30.33,0.13,0.00,0.00,0.00,95.65
82,4.25,20.69,0.28,5.91,20.03,4.00,0.49,20.00,44.35,7.40,21.76,0.10,0.00,0.00,0.00,89.73
83,4.09,21.27,0.18,4.14,15.90,4.00,0.35,17.00,34.95,6.47,22.34,0.08,0.00,0.00,0.00,83.54
84,27.16,112.29,0.36,5.84,24.29,4.00,0.84,53.00,48.45,9.51,111.78,0.21,0.00,0.00,0.00,104.73
85,4.05,18.59,0.71,8.94,24.00,6.00,0.96,17.00,47.45,11.45,23.09,0.20,0.00,0.00,0.00,87.28
86,11.82,46.38,0.26,5.68,21.15,6.00,0.68,30.00,38.10,7.57,50.03,0.15,0.00,0.00,0.00,102.58
87,12.19,49.67,0.34,5.92,23.51,4.00,0.46,38.00,46.00,8.86,52.94,0.10,0.00,0.00,0.00,100.66
88,20.18,81.48,0.26,6.10,21.06,5.00,0.36,40.00,30.38,7.75,87.29,0.07,0.00,0.00,0.00,109.56
89,11.48,51.73,0.18,3.64,17.58,4.00,0.18,34.00,35.61,6.02,53.77,0.05,0.00,0.00,0.00,101.35
90,10.24,45.24,0.26,4.48,21.76,4.00,0.33,23.00,41.41,7.13,48.81,0.07,0.00,0.00,0.00,99.01
91,15.87,69.37,0.48,10.01,21.78,7.00,0.49,40.00,34.08,7.73,69.83,0.10,0.00,0.00,0.00,102.25
92,5.27,27.60,0.49,7.91,20.95,7.00,0.40,25.00,49.96,7.90,32.47,0.09,0.00,0.00,0.00,96.63
93,2.12,12.28,0.33,5.82,23.16,5.00,0.60,11.00,39.62,8.06,17.16,0.09,0.00,0.00,0.00,76.08
94,7.30,29.33,0.26,6.51,25.38,5.00,0.63,18.00,41.68,8.60,33.60,0.11,0.00,0.00,0.00,96.73
95,2.78,12.67,0.16,4.66,16.21,3.00,0.27,12.00,34.65,6.69,15.97,0.07,0.00,0.00,0.00,83.56
96,2.98,14.07,0.39,6.18,22.55,4.00,0.84,14.00,42.15,7.63,17.81,0.17,0.00,0.00,0.00,85.61
97,4.75,22.18,0.17,3.69,18.48,3.00,0.32,17.00,32.47,5.85,25.82,0.06,0.00,0.00,0.00,90.01
98,1.64,9.81,0.33,5.50,20.62,5.00,0.32,11.00,44.89,8.16,12.90,0.07,0.00,0.00,0.00,76.03
99,12.78,49.24,1.06,16.59,18.99,11.00,0.42,31.00,49.46,13.84,51.68,0.09,0.00,0.00,0.00,96.63
100,3.03,14.10,0.28,4.92,17.77,5.00,0.41,13.00,36.37,7.36,16.90,0.07,0.00,0.00,0.00,89.23
101,7.17,33.70,0.43,7.96,17.96,5.00,0.69,25.00,49.65,9.81,33.76,0.16,0.00,0.00,0.00,89.43
102,14.60,61.09,0.37,7.51,20.25,4.00,0.56,49.00,42.86,9.04,59.65,0.09,0.00,0.00,0.00,91.90
103,13.61,60.25,0.29,5.34,20.39,5.00,0.35,33.00,41.82,7.38,60.75,0.07,0.00,0.00,0.00,96.69
104,7.05,29.20,0.15,4.20,20.55,3.00,0.40,17.00,33.76,6.17,33.68,0.08,0.00,0.00,0.00,93.99
105,6.87,31.11,0.31,6.92,22.18,7.00,0.55,18.00,35.82,8.20,33.58,0.12,0.00,0.00,0.00,93.47
106,4.54,21.30,0.23,4.72,20.07,3.00,0.39,17.00,39.38,6.89,23.90,0.10,0.00,0.00,0.00,86.08
107,14.54,59.56,0.17,3.69,19.63,3.00,0.49,31.00,36.66,6.68,65.73,0.10,0.00,0.00,0.00,103.63
108,3.81,17.21,0.19,5.72,20.09,4.00,0.53,20.00,37.13,6.59,19.86,0.08,0.00,0.00,0.00,88.66
109,9.20,39.07,0.42,7.56,24.32,5.00,0.54,23.00,49.32,9.15,42.42,0.12,0.00,0.00,0.00,98.51
110,3.13,13.90,0.27,6.09,21.62,4.00,0.53,13.00,41.47,8.33,16.56,0.10,0.00,0.00,0.00,85.25
111,9.19,39.83,0.18,4.40,17.41,3.00,0.15,30.00,34.50,5.43,41.60,0.05,0.00,0.00,0.00,88.98
112,11.18,48.35,0.20,5.51,17.47,3.00,0.23,25.00,36.81,6.91,53.14,0.05,0.00,0.00,0.00,99.09
113,3.09,14.69,0.20,4.26,22.98,4.00,0.45,13.00,34.40,6.56,17.94,0.12,0.00,0.00,0.00,88.85
114,4.43,21.16,0.19,4.49,19.08,4.00,0.32,20.00,34.53,5.81,22.82,0.07,0.00,0.00,0.00,88.67
115,5.56,25.08,0.22,5.70,17.60,3.00,0.20,21.00,35.23,7.49,27.03,0.05,0.00,0.00,0.00,100.61
116,10.17,41.73,0.42,6.44,21.26,5.00,0.62,31.00,41.61,7.84,46.32,0.12,0.00,0.00,0.00,99.62
117,6.83,31.11,0.31,7.07,18.70,6.00,0.35,22.00,36.41,7.51,32.19,0.09,0.00,0.00,0.00,92.02
118,9.04,38.74,0.51,8.22,21.77,5.00,0.41,28.00,44.19,9.29,40.83,0.10,0.00,0.00,0.00,95.90
119,3.35,16.36,0.46,6.81,20.30,6.00,0.47,14.00,46.20,10.60,19.82,0.09,0.00,0.00,0.00,91.39
120,2.84,15.83,0.17,3.91,20.34,3.00,0.47,13.00,42.45,6.86,18.92,0.08,0.00,0.00,0.00,84.48
121,5.97,23.49,0.28,4.84,27.76,3.00,1.60,17.00,38.58,10.72,26.04,0.32,0.00,0.00,0.00,89.89
122,19.45,82.84,0.33,5.99,18.56,4.00,0.34,39.00,39.31,6.80,89.51,0.06,0.00,0.00,0.00,103.32
123,5.87,26.28,0.27,4.76,20.62,4.00,0.52,21.00,39.53,6.93,27.07,0.09,0.00,0.00,0.00,91.00
124,2.36,12.51,0.33,5.76,18.52,5.00,0.37,12.00,37.98,7.27,16.12,0.10,0.00,0.00,0.00,78.12
125,4.33,17.61,0.29,5.34,18.98,5.00,0.42,17.00,38.79,7.21,21.31,0.10,0.00,0.00,0.00,89.29
126,3.92,19.12,0.32,9.34,18.51,5.00,0.40,20.00,41.61,8.71,21.72,0.10,0.00,0.00,0.00,86.71
127,4.98,21.46,0.33,6.07,21.90,4.00,0.55,17.00,37.08,8.87,23.82,0.09,0.00,0.00,0.00,93.30
128,11.06,43.28,0.41,6.84,21.14,6.00,0.47,27.00,41.58,7.64,46.39,0.08,0.00,0.00,0.00,96.63
129,12.36,51.79,0.21,5.30,17.64,3.00,0.47,31.00,38.45,7.71,53.29,0.09,0.00,0.00,0.00,93.32
130,3.40,19.94,0.25,4.50,19.25,6.00,0.33,21.00,38.90,7.02,19.34,0.06,0.00,0.00,0.00,79.96
131,5.56,26.74,0.65,12.27,19.14,7.00,0.48,19.00,42.79,11.82,31.62,0.11,0.00,0.00,0.00,89.80
132,2.97,14.46,0.51,8.66,20.08,5.00,0.46,16.00,41.71,9.81,15.27,0.09,0.00,0.00,0.00,85.91
133,2.08,11.19,0.18,5.07,15.72,3.00,0.42,9.00,37.04,6.46,15.05,0.08,0.00,0.00,0.00,84.03
134,5.97,24.90,0.22,5.47,17.84,3.00,0.67,16.00,40.88,7.66,30.00,0.12,0.00,0.00,0.00,92.81
135,4.06,17.54,0.22,4.56,21.37,3.00,0.62,15.00,39.83,8.50,20.32,0.12,0.00,0.00,0.00,86.94
136,5.28,31.81,0.38,7.58,18.92,5.00,0.32,24.00,45.48,8.46,32.22,0.07,0.00,0.00,0.00,88.08
137,5.45,22.26,0.52,7.90,20.74,6.00,0.35,21.00,43.82,9.84,24.15,0.07,0.00,0.00,0.00,93.20
138,5.20,25.12,0.23,4.48,18.73,5.00,0.27,22.00,38.71,6.63,27.84,0.05,0.00,0.00,0.00,92.87
139,4.20,21.14,0.41,6.84,18.69,5.00,0.36,20.00,39.78,8.61,23.48,0.06,0.00,0.00,0.00,83.99
140,3.10,15.31,0.20,4.40,23.80,3.00,0.82,12.00,34.41,6.64,18.12,0.15,0.00,0.00,0.00,85.12
141,10.63,45.29,0.43,6.85,19.86,6.00,0.33,32.00,46.15,9.62,50.26,0.09,0.00,0.00,0.00,99.10
142,12.45,48.28,0.35,5.49,21.54,4.00,0.40,28.00,40.84,8.11,53.95,0.08,0.00,0.00,0.00,99.73
143,7.14,36.15,0.37,7.06,23.47,5.00,0.52,30.00,41.30,9.20,39.51,0.11,0.00,0.00,0.00,102.29
144,7.71,31.96,0.23,4.34,24.48,3.00,0.76,22.00,41.37,7.88,39.03,0.17,0.00,0.00,0.00,100.24
145,3.67,18.77,0.35,6.00,19.62,6.00,0.32,12.00,39.58,6.66,22.43,0.07,0.00,0.00,0.00,85.74
146,13.48,62.10,0.31,6.05,19.64,5.00,0.39,37.00,42.85,7.86,62.07,0.09,0.00,0.00,0.00,101.26
147,19.84,78.34,0.26,6.25,22.03,4.00,0.32,38.00,42.21,8.28,85.85,0.09,0.00,0.00,0.00,102.86
148,3.72,16.98,0.40,6.84,21.23,5.00,0.41,13.00,44.31,8.42,20.12,0.08,0.00,0.00,0.00,86.97
149,6.46,26.92,0.69,8.29,23.44,7.00,0.54,25.00,50.60,11.61,31.76,0.12,0.00,0.00,0.00,91.00
150,16.99,71.10,0.21,4.27,23.44,4.00,0.48,34.00,36.43,7.44,76.00,0.09,0.00,0.00,0.00,98.74
151,4.22,18.68,0.33,6.19,21.28,4.00,0.52,14.00,40.32,8.42,21.31,0.11,0.00,0.00,0.00,87.99
152,5.90,27.15,0.31,4.60,20.22,4.00,0.49,18.00,40.11,6.81,28.30,0.10,0.00,0.00,0.00,95.90
153,4.82,21.74,0.30,6.51,22.03,5.00,0.50,20.00,35.86,7.00,25.78,0.09,0.00,0.00,0.00,94.16
154,5.53,27.02,0.14,4.13,17.87,3.00,0.71,25.00,34.36,6.85,28.74,0.12,0.00,0.00,0.00,83.86
155,11.07,45.76,0.18,4.82,18.18,3.00,0.53,26.00,38.82,6.59,50.21,0.10,0.00,0.00,0.00,101.43
156,3.10,15.47,0.46,7.91,19.53,5.00,0.43,15.00,46.97,10.80,17.58,0.10,0.00,0.00,0.00,81.09
157,2.67,15.79,0.31,5.37,20.00,4.00,0.58,11.00,38.79,7.08,17.35,0.12,0.00,0.00,0.00,78.15
158,10.28,37.49,0.19,5.04,20.60,3.00,0.38,23.00,38.23,7.54,39.73,0.07,0.00,0.00,0.00,93.45
159,6.52,32.24,0.25,5.03,22.26,5.00,0.66,22.00,42.84,8.03,32.92,0.11,0.00,0.00,0.00,93.63
160,6.97,32.19,0.31,5.73,22.25,4.00,0.46,25.00,42.18,7.68,35.50,0.11,0.00,0.00,0.00,98.33
161,9.12,44.82,0.18,5.35,17.89,4.00,0.34,26.00,31.84,8.32,41.01,0.08,0.00,0.00,0.00,83.39
162,9.18,39.68,0.33,7.71,19.39,4.00,0.47,25.00,44.59,9.16,45.53,0.07,0.00,0.00,0.00,91.22
163,3.40,14.86,0.35,8.43,20.76,6.00,0.45,14.00,37.10,8.64,19.70,0.08,0.00,0.00,0.00,87.20
164,9.27,37.59,0.41,7.23,23.17,5.00,0.43,25.00,44.16,8.55,39.31,0.11,0.00,0.00,0.00,93.37
165,3.77,16.54,0.37,6.27,23.62,4.00,0.54,16.00,43.42,8.64,21.02,0.13,0.00,0.00,0.00,88.71
166,12.05,51.97,0.16,4.85,21.13,3.00,0.46,38.00,33.26,6.40,50.36,0.08,0.00,0.00,0.00,102.04
167,13.10,54.16,0.34,5.15,24.01,4.00,0.90,41.00,46.20,7.86,55.91,0.20,0.00,0.00,0.00,98.84
168,4.46,19.42,0.35,6.85,21.13,4.00,0.48,15.00,46.61,8.90,25.04,0.10,0.00,0.00,0.00,94.69
169,2.29,12.57,0.21,4.89,17.30,4.00,0.42,10.00,41.22,6.58,14.79,0.08,0.00,0.00,0.00,72.96
170,9.06,38.13,0.30,7.26,18.04,6.00,0.42,21.00,41.83,6.67,44.51,0.10,0.00,0.00,0.00,93.97
171,14.25,58.86,0.47,10.52,24.93,6.00,0.62,44.00,44.79,9.99,61.85,0.14,0.00,0.00,0.00,102.07
172,15.45,66.54,0.38,6.38,23.59,5.00,0.50,36.00,47.27,7.97,65.62,0.09,0.00,0.00,0.00,97.63
173,13.07,56.44,0.14,3.79,22.20,4.00,0.46,45.00,31.86,6.75,59.66,0.09,0.00,0.00,0.00,101.77
174,5.15,24.29,0.16,4.97,19.02,4.00,0.29,21.00,34.74,6.35,26.82,0.07,0.00,0.00,0.00,91.64
175,10.98,53.08,0.26,4.97,21.80,4.00,0.48,38.00,38.21,7.23,50.94,0.10,0.00,0.00,0.00,99.57
176,24.52,104.81,0.32,5.66,25.12,4.00,0.74,62.00,46.65,10.50,99.38,0.15,0.00,0.00,0.00,103.86
177,4.46,18.56,0.18,4.41,19.34,3.00,0.40,15.00,38.96,7.34,21.75,0.08,0.00,0.00,0.00,89.23
178,6.32,33.60,0.74,9.58,19.93,8.00,0.50,22.00,49.38,9.64,36.60,0.08,0.00,0.00,0.00,87.96
179,5.29,22.09,0.38,6.94,20.88,5.00,0.65,15.00,45.41,10.56,26.79,0.12,0.00,0.00,0.00,93.43
180,3.53,15.52,0.27,6.83,22.05,4.00,0.44,18.00,39.26,8.93,19.12,0.07,0.00,0.00,0.00,87.44
181,9.42,41.00,0.21,4.32,20.10,3.00,0.40,29.00,34.98,7.78,44.34,0.08,0.00,0.00,0.00,94.03
182,3.23,14.58,0.26,4.43,21.70,4.00,0.30,15.00,43.76,8.01,19.32,0.08,0.00,0.00,0.00,88.37
183,25.82,95.78,0.46,7.44,20.82,5.00,0.38,45.00,48.01,8.51,102.66,0.09,0.00,0.00,0.00,105.24
184,3.60,17.80,0.42,8.93,20.91,5.00,0.48,18.00,43.43,9.56,20.59,0.07,0.00,0.00,0.00,87.48
185,4.40,21.01,0.22,4.97,18.82,3.00,0.56,17.00,36.99,7.00,23.74,0.12,0.00,0.00,0.00,88.21
186,4.56,17.95,0.15,5.15,16.35,3.00,0.18,18.00,33.36,7.04,20.62,0.04,0.00,0.00,0.00,93.02
187,3.26,15.14,0.32,5.35,20.71,5.00,0.67,13.00,45.20,8.56,20.04,0.15,0.00,0.00,0.00,89.29
188,3.41,17.45,0.34,5.54,23.55,4.00,0.80,17.00,46.87,9.66,18.96,0.17,0.00,0.00,0.00,79.23
189,3.77,17.20,0.19,4.27,18.78,3.00,0.60,17.00,35.00,6.46,22.16,0.11,0.00,0.00,0.00,89.36
190,7.11,30.27,0.34,4.79,17.95,4.00,0.36,25.00,47.10,8.67,33.79,0.07,0.00,0.00,0.00,92.74
191,2.69,13.77,0.30,6.69,21.10,5.00,0.41,11.00,37.19,7.74,16.08,0.08,0.00,0.00,0.00,85.81
192,24.30,94.26,0.17,4.20,25.74,3.00,0.58,41.00,34.37,7.18,100.64,0.12,0.00,0.00,0.00,107.04
193,4.45,21.67,0.37,6.96,20.27,5.00,0.53,17.00,39.88,10.16,21.95,0.09,0.00,0.00,0.00,86.65
194,5.81,23.59,0.35,7.63,18.06,7.00,0.28,15.00,36.04,7.64,30.60,0.06,0.00,0.00,0.00,101.83
195,9.43,43.53,0.22,5.37,17.61,5.00,0.31,29.00,34.40,8.03,43.23,0.08,0.00,0.00,0.00,89.73
196,3.52,17.61,0.22,5.00,19.86,4.00,0.44,13.00,40.79,7.19,19.58,0.10,0.00,0.00,0.00,83.34
197,24.91,99.90,0.27,5.49,23.73,4.00,0.47,51.00,40.85,7.64,101.42,0.10,0.00,0.00,0.00,103.17
198,2.29,12.04,0.11,3.24,20.55,3.00,0.36,11.00,30.78,6.53,14.33,0.08,0.00,0.00,0.00,76.48
199,4.25,20.40,0.31,5.51,16.55,4.00,0.37,15.00,40.86,7.86,23.65,0.07,0.00,0.00,0.00,93.97
200,4.37,20.71,0.19,4.33,16.28,4.00,0.34,16.00,35.87,6.44,21.89,0.07,0.00,0.00,0.00,92.55
201,6.38,27.61,0.37,8.29,17.79,5.00,0.40,23.00,45.69,8.83,30.37,0.08,0.00,0.00,0.00,90.44
202,4.30,19.93,0.21,4.81,23.88,4.00,0.55,16.00,34.02,7.25,24.36,0.10,0.00,0.00,0.00,91.48
203,1.98,10.48,0.26,5.28,17.87,4.00,0.40,11.00,35.63,7.45,13.99,0.07,0.00,0.00,0.00,80.97
204,5.66,26.38,0.39,6.77,19.85,6.00,0.42,21.00,37.38,7.39,28.28,0.07,0.00,0.00,0.00,86.72
205,7.59,30.94,0.18,4.57,24.40,4.00,0.77,23.00,38.72,6.68,32.39,0.16,0.00,0.00,0.00,102.15
206,4.22,23.61,0.46,8.05,17.70,4.00,0.23,19.00,45.34,7.70,23.50,0.05,0.00,0.00,0.00,91.65
207,3.83,16.85,0.33,6.58,23.40,5.00,0.61,14.00,40.93,8.06,21.28,0.12,0.00,0.00,0.00,93.96
