Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,16.15,63.20,0.22,5.01,18.71,4.00,0.36,42.00,39.22,7.52,64.85,0.07,0.00,29.00,0.00,95.95
2,7.06,27.37,0.24,5.22,18.56,5.00,0.37,34.00,38.15,8.59,29.29,0.07,0.00,9.00,0.00,88.66
3,6.21,27.21,0.29,4.85,19.53,4.00,0.38,19.00,37.74,8.03,27.99,0.08,0.00,1.00,0.00,85.61
4,19.66,76.99,0.22,4.64,22.28,4.00,0.65,37.00,38.15,6.86,77.37,0.15,0.00,18.00,0.00,95.88
5,4.11,18.06,0.27,5.70,22.53,4.00,0.47,18.00,35.67,6.91,21.22,0.12,0.00,0.00,0.00,88.56
6,2.23,11.36,0.22,4.38,22.80,4.00,0.57,12.00,34.32,7.81,14.16,0.12,3.00,1.00,0.00,79.19
7,5.29,22.97,0.24,4.42,18.84,4.00,0.41,21.00,36.56,6.46,27.52,0.11,0.00,4.00,0.00,87.96
8,4.35,18.15,0.67,13.46,18.50,8.00,0.34,16.00,42.38,9.77,21.21,0.07,0.00,10.00,0.00,86.72
9,6.42,25.06,0.16,4.36,25.32,3.00,0.94,19.00,33.86,7.18,27.37,0.21,0.00,3.00,0.00,94.04
10,12.17,52.56,0.39,7.10,19.91,4.00,0.66,32.00,45.53,9.88,58.23,0.14,0.00,0.00,0.00,94.48
11,3.59,15.68,0.18,3.96,20.44,3.00,0.35,13.00,33.84,5.96,18.78,0.07,2.00,12.00,0.00,86.58
12,4.66,19.96,0.34,6.90,20.14,5.00,0.36,16.00,41.25,9.20,21.83,0.08,0.00,9.00,0.00,86.18
13,12.62,51.17,0.18,5.24,20.95,3.00,0.55,33.00,38.68,6.78,53.26,0.10,0.00,5.00,0.00,98.29
14,3.28,15.96,0.42,6.43,17.29,5.00,0.43,18.00,46.48,7.82,18.56,0.08,0.00,3.00,0.00,81.15
15,8.14,33.12,0.26,5.27,15.20,4.00,0.21,25.00,35.46,5.96,34.84,0.05,0.00,4.00,0.00,91.69
16,4.66,20.13,0.39,7.51,20.55,6.00,0.54,18.00,40.98,9.14,23.83,0.15,0.00,0.00,0.00,92.28
17,7.19,31.39,0.17,4.45,21.82,3.00,0.56,25.00,41.02,7.03,34.50,0.11,0.00,0.00,0.00,90.35
18,20.44,72.44,0.43,8.31,18.20,7.00,0.34,55.00,39.44,7.87,77.59,0.10,0.00,47.00,0.00,97.28
19,8.43,32.20,0.21,6.72,19.78,4.00,0.43,27.00,34.98,8.63,36.67,0.11,0.00,9.00,0.00,93.85
20,4.13,16.90,0.32,5.77,21.48,5.00,0.34,13.00,41.57,9.25,19.40,0.08,0.00,2.00,0.00,87.74
21,14.58,59.18,0.15,3.16,18.10,3.00,0.62,38.00,30.96,5.76,60.32,0.13,0.00,14.00,0.00,96.88
22,4.23,20.41,0.45,8.33,22.58,6.00,0.83,14.00,43.97,10.94,23.36,0.18,0.00,0.00,0.00,83.54
23,3.53,16.99,0.42,7.45,22.17,6.00,1.17,16.00,41.89,7.03,21.97,0.23,0.00,15.00,0.00,84.29
24,12.02,49.91,0.21,4.62,20.29,4.00,0.55,30.00,32.61,6.45,50.10,0.11,0.00,1.00,0.00,95.13
