Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
25,2.12,10.12,1.03,16.46,21.90,13.00,0.65,13.00,52.19,14.09,13.62,0.13,0.00,3.00,0.00,83.60
26,3.97,17.97,0.26,5.12,23.87,4.00,0.62,18.00,40.36,8.55,21.70,0.14,0.00,0.00,0.00,89.10
27,10.15,40.45,0.40,8.06,18.61,7.00,0.48,24.00,36.92,7.78,46.58,0.09,0.00,9.00,0.00,99.36
28,20.40,79.01,0.31,8.04,22.24,4.00,0.34,36.00,41.11,8.94,85.70,0.07,0.00,1.00,0.00,98.98
29,7.50,29.03,0.32,7.19,21.96,5.00,0.39,25.00,39.17,8.28,30.30,0.09,0.00,9.00,0.00,91.96
30,2.75,12.82,0.20,4.52,18.70,4.00,0.48,14.00,31.49,6.99,15.30,0.08,0.00,1.00,0.00,82.06
31,3.50,16.31,0.28,6.96,16.84,4.00,0.14,13.00,37.12,6.85,18.73,0.04,1.00,4.00,0.00,87.90
32,5.63,25.13,0.22,5.24,20.33,4.00,0.39,15.00,40.45,7.25,28.04,0.08,0.00,13.00,0.00,87.75
33,5.58,23.12,0.31,6.94,22.68,4.00,0.73,17.00,39.89,8.99,26.93,0.15,0.00,13.00,0.00,92.58
34,10.00,43.55,0.32,6.44,20.67,6.00,0.71,25.00,45.59,9.13,47.03,0.16,0.00,0.00,0.00,91.02
35,3.62,16.04,0.52,7.75,20.22,5.00,0.80,14.00,38.39,8.74,18.16,0.15,0.00,5.00,1.00,81.35
36,6.85,28.28,0.26,4.95,24.94,4.00,0.80,21.00,37.29,8.01,32.38,0.16,0.00,11.00,0.00,94.75
37,8.01,33.24,0.10,2.67,21.60,2.00,0.39,31.00,27.77,4.89,37.50,0.08,0.00,0.00,0.00,90.55
38,4.30,18.94,0.36,6.23,22.76,5.00,0.73,16.00,42.90,8.96,22.11,0.13,0.00,0.00,0.00,85.54
39,10.83,43.21,0.25,5.03,18.91,5.00,0.19,24.00,37.27,7.07,45.71,0.05,0.00,16.00,0.00,93.20
40,5.04,22.44,0.08,3.45,22.43,2.00,0.75,21.00,25.18,6.53,24.24,0.17,0.00,0.00,0.00,82.67
41,7.46,28.90,0.18,5.68,20.37,3.00,0.46,24.00,33.83,5.97,34.16,0.08,0.00,16.00,0.00,93.12
42,8.99,41.71,0.21,5.14,21.09,4.00,0.44,30.00,35.36,8.06,40.46,0.08,0.00,13.00,0.00,86.65
43,6.18,25.94,0.41,6.78,20.91,6.00,0.44,18.00,41.40,7.75,28.90,0.11,0.00,0.00,0.00,92.42
44,31.73,121.30,0.32,5.08,20.81,4.00,0.33,54.00,40.89,7.47,130.35,0.07,2.00,9.00,0.00,98.45
45,5.87,25.82,0.28,6.14,20.45,4.00,0.26,23.00,39.28,8.08,25.70,0.06,0.00,21.00,0.00,85.39
46,2.14,11.82,0.57,7.92,21.15,6.00,0.51,11.00,47.93,10.22,14.47,0.13,0.00,0.00,0.00,79.72
47,5.98,26.73,0.28,5.79,18.70,4.00,0.43,16.00,37.75,7.78,28.58,0.10,0.00,0.00,0.00,92.49
48,8.92,32.85,0.23,6.01,17.13,5.00,0.24,29.00,33.70,6.79,38.02,0.06,0.00,27.00,0.00,97.23
49,15.43,57.13,0.25,5.32,18.56,3.00,0.34,35.00,35.60,8.90,62.97,0.07,0.00,3.00,0.00,100.48
50,6.15,25.00,0.60,9.25,20.40,7.00,0.41,22.00,41.46,10.87,28.80,0.07,1.00,5.00,0.00,94.68
51,15.33,59.69,0.26,6.21,23.09,5.00,0.99,38.00,33.51,8.23,70.32,0.22,0.00,4.00,0.00,98.42
52,20.73,83.25,0.33,5.09,17.42,4.00,0.53,40.00,40.84,7.66,84.68,0.09,2.00,28.00,0.00,97.80
53,6.19,27.28,0.39,6.76,23.77,5.00,0.41,21.00,43.83,7.55,28.92,0.10,0.00,1.00,2.00,93.39
54,3.74,18.43,0.35,5.07,17.61,4.00,0.29,15.00,43.00,7.30,20.12,0.08,0.00,6.00,0.00,89.75
55,4.77,21.44,0.39,5.02,24.01,5.00,0.38,19.00,45.68,8.66,23.23,0.09,0.00,9.00,0.00,89.92
56,16.75,72.85,0.20,6.56,18.11,5.00,0.45,36.00,34.58,6.68,78.33,0.08,0.00,11.00,0.00,96.34
57,7.12,28.88,0.50,8.54,22.10,6.00,0.53,22.00,44.22,9.86,31.46,0.12,2.00,5.00,1.00,92.95
58,4.20,16.49,0.31,5.58,22.60,5.00,0.41,16.00,41.41,8.42,20.85,0.08,0.00,3.00,0.00,90.64
59,3.88,17.36,0.43,7.87,19.84,8.00,0.42,17.00,41.15,8.57,19.02,0.09,0.00,13.00,0.00,87.80
60,3.79,19.42,0.25,4.92,22.69,4.00,1.10,16.00,36.47,10.11,22.90,0.23,0.00,5.00,0.00,88.74
61,5.33,23.23,0.45,9.13,20.77,7.00,0.49,24.00,39.95,8.58,28.24,0.08,1.00,2.00,0.00,91.72
62,7.11,31.96,0.37,4.78,21.31,4.00,0.38,26.00,44.58,7.49,34.32,0.09,0.00,0.00,0.00,89.66
63,4.51,20.26,0.18,4.48,18.70,3.00,0.35,18.00,35.03,6.73,22.28,0.06,0.00,8.00,0.00,87.87
64,11.91,46.35,0.32,5.07,18.25,5.00,0.47,30.00,41.88,7.78,51.98,0.12,1.00,7.00,0.00,92.74
65,21.59,85.31,0.30,7.19,18.41,4.00,0.40,49.00,39.21,6.56,89.40,0.07,0.00,22.00,0.00,98.23
66,15.39,58.03,0.26,5.58,22.19,6.00,0.89,32.00,39.76,7.63,65.39,0.22,0.00,8.00,0.00,99.26
67,4.46,20.09,0.13,3.84,15.95,3.00,0.19,17.00,32.70,5.74,22.55,0.05,0.00,2.00,0.00,85.28
68,19.60,77.82,0.29,5.60,24.15,5.00,0.86,35.00,39.34,8.59,84.89,0.19,0.00,24.00,0.00,99.19
69,8.13,33.27,0.45,5.48,22.85,5.00,0.60,22.00,46.95,9.06,36.24,0.12,0.00,11.00,0.00,94.33
70,7.45,27.35,0.55,9.83,21.35,6.00,0.27,22.00,44.19,10.45,28.52,0.07,2.00,0.00,0.00,93.07
71,8.33,36.48,0.27,5.46,23.10,3.00,0.78,26.00,39.80,8.87,41.71,0.18,0.00,3.00,0.00,95.54
72,2.85,15.89,0.25,4.19,20.01,4.00,0.62,13.00,44.76,8.20,17.59,0.13,0.00,1.00,0.00,78.02
73,17.97,70.52,0.19,4.49,22.02,4.00,0.51,46.00,39.72,7.28,69.56,0.10,0.00,10.00,0.00,93.26
74,3.16,15.81,0.38,6.14,16.14,5.00,0.32,13.00,38.29,8.32,17.38,0.06,0.00,8.00,0.00,85.77
75,19.54,80.93,0.40,5.96,20.96,7.00,0.81,38.00,45.80,8.87,83.20,0.14,0.00,20.00,0.00,97.61
76,8.18,40.19,0.56,9.88,17.65,8.00,0.20,25.00,44.04,10.69,40.05,0.05,0.00,0.00,0.00,88.30
77,31.29,116.28,0.25,5.11,17.73,4.00,0.41,58.00,34.45,7.62,110.35,0.07,2.00,50.00,0.00,97.01
78,3.14,16.06,0.26,5.08,19.34,5.00,0.29,16.00,40.00,7.22,18.33,0.07,0.00,2.00,0.00,80.41
79,16.81,68.07,0.43,6.86,22.59,5.00,0.34,36.00,42.80,7.21,66.50,0.08,0.00,34.00,0.00,93.40
80,4.43,17.55,0.23,4.41,23.08,4.00,0.45,21.00,36.28,7.35,21.66,0.07,0.00,19.00,0.00,91.75
81,23.10,89.25,0.47,9.03,21.16,8.00,0.66,38.00,34.57,9.03,94.22,0.18,0.00,14.00,0.00,100.35
82,4.56,24.23,0.28,4.98,24.39,3.00,0.85,16.00,37.83,8.19,26.47,0.16,2.00,0.00,0.00,83.85
83,7.83,32.15,0.18,3.93,22.46,3.00,0.60,32.00,39.52,6.59,34.38,0.11,0.00,21.00,0.00,83.57
84,4.30,19.04,0.21,4.44,23.83,3.00,0.42,17.00,35.71,6.34,21.70,0.11,0.00,0.00,0.00,91.70
85,9.45,40.50,0.39,6.54,21.18,7.00,0.78,26.00,40.74,9.49,44.02,0.15,0.00,19.00,0.00,94.52
86,15.83,58.79,0.30,5.99,16.98,4.00,0.40,32.00,34.51,7.47,65.26,0.09,0.00,24.00,0.00,99.25
87,4.68,19.70,0.30,5.95,22.03,5.00,0.63,15.00,37.16,7.65,24.27,0.10,0.00,9.00,0.00,88.92
88,5.50,23.30,0.52,9.38,21.62,7.00,0.81,16.00,43.31,10.37,28.13,0.13,0.00,14.00,0.00,91.06
89,3.93,16.11,0.47,6.57,18.35,5.00,0.49,30.00,46.00,7.99,17.89,0.10,0.00,28.00,0.00,78.60
90,18.94,78.85,0.23,5.48,14.46,5.00,0.19,43.00,39.69,6.95,80.83,0.04,0.00,41.00,0.00,95.53
91,10.72,44.60,0.23,4.99,19.94,4.00,0.40,30.00,37.45,6.94,45.84,0.08,0.00,7.00,0.00,96.64
92,6.19,27.11,0.21,4.93,19.98,3.00,0.37,24.00,39.69,8.29,30.38,0.08,0.00,7.00,0.00,93.35
93,23.02,86.30,0.45,5.99,19.07,6.00,0.39,61.00,40.96,8.73,86.06,0.09,0.00,55.00,0.00,96.27
94,3.37,14.21,0.19,5.76,21.83,4.00,0.66,13.00,37.68,7.64,17.53,0.11,1.00,1.00,0.00,88.92
95,6.46,28.06,0.42,9.01,22.64,5.00,0.92,26.00,42.10,11.87,29.60,0.18,0.00,7.00,0.00,88.05
96,10.40,45.14,0.25,5.99,18.13,5.00,0.14,25.00,39.85,7.00,47.04,0.03,0.00,23.00,0.00,95.20
97,5.33,24.64,0.44,7.42,19.42,4.00,0.23,20.00,47.48,8.67,26.07,0.06,0.00,0.00,0.00,88.47
98,12.47,48.72,0.14,3.56,23.14,4.00,0.52,26.00,35.80,7.04,56.73,0.10,1.00,11.00,1.00,94.98
99,14.69,57.21,0.53,9.37,17.32,8.00,0.41,42.00,49.24,12.27,57.13,0.06,0.00,29.00,0.00,91.17
100,3.96,20.52,0.27,5.54,21.07,4.00,1.06,18.00,38.63,9.28,22.63,0.18,2.00,12.00,0.00,80.18
101,9.88,40.70,0.40,7.15,19.26,6.00,0.48,20.00,40.99,8.21,43.82,0.10,0.00,5.00,0.00,99.40
102,5.28,21.90,0.46,8.43,19.12,6.00,0.37,21.00,36.75,8.72,24.67,0.08,1.00,10.00,0.00,90.21
103,4.24,19.98,0.36,7.31,19.60,7.00,0.42,13.00,40.29,8.33,21.33,0.10,0.00,4.00,0.00,86.24
104,5.69,25.76,0.21,5.70,17.55,5.00,0.20,19.00,35.55,7.22,28.42,0.05,0.00,7.00,0.00,88.42
105,7.11,33.45,0.16,4.13,16.22,3.00,0.24,19.00,36.72,5.47,36.64,0.04,0.00,5.00,0.00,90.78
106,6.47,26.23,0.15,4.39,15.30,3.00,0.31,15.00,35.50,7.14,31.77,0.07,1.00,4.00,0.00,96.07
107,31.47,123.07,0.21,4.09,18.07,4.00,0.40,47.00,41.54,6.96,129.32,0.09,0.00,24.00,0.00,100.77
108,19.57,79.98,0.50,6.11,19.79,7.00,0.52,37.00,44.93,8.91,83.96,0.12,0.00,28.00,0.00,96.65
109,7.72,33.53,0.22,4.06,20.35,4.00,0.45,28.00,37.16,6.51,36.87,0.11,0.00,15.00,0.00,93.13
110,5.12,23.51,0.29,5.92,24.64,6.00,0.52,20.00,39.31,8.15,25.06,0.11,0.00,2.00,1.00,85.90
111,2.48,11.99,0.31,7.18,20.29,5.00,0.29,14.00,41.00,7.22,14.88,0.05,0.00,0.00,0.00,85.24
112,3.82,16.44,0.39,7.07,20.63,5.00,0.48,16.00,38.09,7.97,18.26,0.11,0.00,0.00,0.00,81.70
113,13.13,50.15,0.31,6.00,19.43,4.00,0.53,25.00,40.47,9.20,53.30,0.11,2.00,16.00,0.00,96.78
114,7.94,29.55,0.31,4.97,21.46,4.00,0.50,20.00,42.07,7.13,35.27,0.12,0.00,5.00,0.00,98.94
115,2.74,15.05,0.35,6.19,22.14,4.00,0.62,17.00,45.07,9.74,17.14,0.12,0.00,5.00,0.00,77.56
116,2.39,13.97,0.31,6.61,17.46,7.00,0.33,18.00,37.69,6.75,15.54,0.07,0.00,16.00,0.00,79.12
117,6.14,25.61,0.24,6.05,18.21,3.00,0.56,15.00,36.79,6.96,30.44,0.11,0.00,6.00,0.00,95.28
118,2.72,12.61,0.40,6.94,19.30,6.00,0.33,11.00,41.27,7.49,15.54,0.08,0.00,8.00,0.00,87.70
119,8.11,30.77,0.26,5.28,22.09,3.00,0.61,23.00,42.66,8.29,37.58,0.09,0.00,17.00,0.00,96.66
120,4.62,20.21,0.54,9.39,21.88,7.00,0.38,21.00,42.86,9.98,23.59,0.09,0.00,1.00,0.00,85.97
121,2.75,12.63,0.52,7.98,23.76,7.00,0.74,13.00,47.03,10.78,16.10,0.12,0.00,0.00,0.00,85.94
122,6.50,31.00,0.50,6.40,23.11,5.00,0.61,24.00,43.31,10.31,33.67,0.14,0.00,0.00,2.00,87.71
123,3.27,16.68,0.35,7.04,22.62,5.00,0.58,15.00,37.26,7.64,18.20,0.14,0.00,2.00,1.00,75.53
124,3.71,16.19,0.12,3.92,21.97,3.00,0.65,17.00,36.28,8.10,21.03,0.12,0.00,9.00,0.00,87.73
125,3.18,15.16,0.28,4.90,18.29,3.00,0.38,12.00,39.55,7.61,18.69,0.08,1.00,2.00,0.00,87.23
126,11.21,42.64,0.23,5.22,23.78,4.00,0.59,38.00,34.33,6.97,47.45,0.14,0.00,7.00,0.00,94.40
127,9.40,42.08,0.41,5.50,17.05,5.00,0.45,31.00,44.98,8.85,39.97,0.09,0.00,0.00,0.00,90.71
128,5.39,23.86,0.30,5.89,27.38,5.00,0.54,16.00,45.48,8.44,28.59,0.12,0.00,6.00,0.00,94.64
129,20.79,83.53,0.40,6.12,25.97,4.00,0.60,36.00,47.71,9.48,85.87,0.12,0.00,17.00,0.00,100.02
130,23.76,88.68,0.72,8.01,19.17,6.00,0.58,50.00,52.57,11.28,94.35,0.09,0.00,34.00,0.00,100.25
131,5.09,21.93,0.48,7.16,22.84,6.00,0.65,23.00,46.80,9.55,24.07,0.12,0.00,16.00,0.00,87.29
132,4.72,22.61,0.29,6.08,16.78,5.00,0.13,20.00,40.17,7.63,25.06,0.03,0.00,0.00,0.00,87.98
133,4.03,21.48,0.16,4.01,16.44,3.00,0.20,19.00,35.36,5.96,20.23,0.04,0.00,10.00,0.00,81.02
134,10.63,40.02,0.43,7.11,24.88,6.00,0.42,32.00,43.86,9.45,43.56,0.09,0.00,25.00,0.00,94.42
135,4.75,21.29,0.25,5.56,22.89,4.00,0.71,15.00,37.81,6.92,25.54,0.13,0.00,0.00,0.00,88.71
136,11.64,46.27,0.40,7.90,18.49,5.00,0.80,35.00,48.65,9.42,54.75,0.15,0.00,12.00,0.00,97.97
137,5.94,22.64,0.23,7.07,15.25,5.00,0.39,23.00,34.29,8.99,24.22,0.08,0.00,17.00,1.00,95.63
138,5.89,24.66,0.15,5.17,20.83,4.00,1.02,24.00,35.43,7.28,29.01,0.17,0.00,18.00,0.00,89.96
139,6.12,25.57,0.10,3.01,21.32,2.00,0.29,17.00,31.79,5.94,28.61,0.06,0.00,7.00,0.00,92.07
140,6.55,29.31,0.41,7.77,19.41,4.00,0.46,27.00,41.87,9.46,33.05,0.08,0.00,0.00,0.00,87.40
141,2.94,14.42,0.25,5.24,22.50,4.00,0.45,18.00,37.39,7.62,16.71,0.09,0.00,10.00,0.00,77.49
142,9.19,37.23,0.42,7.29,21.42,6.00,0.72,22.00,43.62,9.66,42.93,0.13,0.00,13.00,0.00,95.59
143,5.43,23.65,0.24,4.77,19.43,3.00,0.32,19.00,39.71,7.81,24.38,0.07,0.00,4.00,0.00,85.86
144,15.97,67.04,0.31,6.96,21.66,4.00,0.60,30.00,42.18,9.11,72.61,0.11,0.00,10.00,0.00,98.14
145,9.61,38.45,0.22,4.55,21.66,3.00,0.49,30.00,39.79,6.02,40.85,0.11,0.00,0.00,0.00,96.51
146,3.83,18.11,0.17,4.55,19.03,3.00,0.33,15.00,35.15,6.13,20.79,0.07,0.00,2.00,0.00,89.06
147,7.52,32.60,0.18,4.48,19.76,3.00,0.47,24.00,35.76,7.23,37.72,0.08,0.00,1.00,0.00,85.32
148,1.77,8.94,0.34,5.10,26.53,6.00,0.84,13.00,47.24,8.58,12.82,0.20,2.00,4.00,0.00,75.24
149,11.11,46.83,0.34,5.75,21.38,7.00,0.63,31.00,39.85,8.70,46.83,0.12,0.00,11.00,0.00,91.23
150,1.76,10.29,0.25,4.42,20.98,5.00,0.71,10.00,36.71,8.11,13.28,0.12,0.00,3.00,0.00,73.03
151,7.99,31.10,0.23,4.65,22.80,4.00,0.54,17.00,38.40,7.04,37.18,0.13,0.00,11.00,0.00,97.47
152,14.74,59.55,0.32,5.30,18.26,3.00,0.33,39.00,45.99,7.16,60.87,0.07,0.00,2.00,0.00,97.31
153,13.63,52.84,0.20,5.02,21.78,4.00,0.37,28.00,39.18,7.70,57.53,0.07,0.00,22.00,0.00,97.12
154,13.41,52.54,0.22,4.56,20.16,4.00,0.48,41.00,33.10,6.99,56.17,0.09,0.00,1.00,0.00,91.20
155,6.62,29.06,0.18,4.79,19.10,3.00,0.51,27.00,38.16,7.10,31.47,0.10,0.00,0.00,0.00,83.99
156,4.21,19.83,0.42,6.01,21.68,6.00,0.72,14.00,45.78,8.77,21.45,0.19,0.00,1.00,0.00,83.18
157,16.64,69.83,0.24,4.93,22.96,3.00,0.45,34.00,40.04,6.21,70.80,0.09,0.00,8.00,0.00,96.02
158,9.81,40.20,0.57,7.56,17.50,6.00,0.26,27.00,41.54,8.27,46.78,0.07,1.00,0.00,0.00,95.16
159,7.09,29.93,0.19,4.83,21.53,3.00,0.62,26.00,44.13,6.80,29.88,0.14,0.00,13.00,0.00,88.01
160,18.40,70.54,0.43,9.71,19.17,7.00,0.51,35.00,39.99,8.34,77.16,0.10,0.00,25.00,0.00,100.17
161,5.07,21.17,0.24,4.07,20.46,3.00,0.49,16.00,38.65,7.29,23.67,0.08,0.00,9.00,0.00,91.29
162,3.70,17.14,0.49,6.62,21.17,6.00,0.47,16.00,48.42,9.16,19.79,0.10,0.00,0.00,0.00,80.82
163,9.41,37.89,0.23,4.60,18.17,4.00,0.31,21.00,35.90,5.98,44.49,0.08,0.00,18.00,0.00,98.59
164,9.79,40.40,0.38,5.95,19.31,4.00,0.62,24.00,46.85,9.03,45.36,0.11,0.00,12.00,0.00,96.14
165,8.06,34.27,0.52,8.13,19.02,6.00,0.57,32.00,44.37,9.70,36.02,0.11,0.00,23.00,0.00,89.47
166,11.98,49.32,0.18,5.68,18.80,4.00,0.34,27.00,29.23,6.44,54.39,0.05,0.00,13.00,0.00,92.56
167,3.97,21.01,0.19,4.45,19.16,3.00,0.33,17.00,41.30,6.51,22.25,0.06,0.00,0.00,0.00,83.65
168,6.97,30.23,0.19,4.36,18.93,4.00,0.24,22.00,38.63,7.39,34.83,0.05,0.00,7.00,0.00,90.39
169,5.50,23.61,0.37,6.60,23.79,5.00,0.51,19.00,35.56,8.07,28.35,0.11,0.00,6.00,0.00,92.16
170,8.23,33.43,0.18,3.43,18.90,3.00,0.63,27.00,34.09,6.40,37.49,0.14,0.00,26.00,0.00,95.59
171,8.16,34.59,0.19,4.57,22.25,4.00,0.65,25.00,35.92,7.04,35.55,0.12,0.00,5.00,0.00,97.28
172,6.36,26.49,0.17,5.02,20.13,4.00,0.41,21.00,33.14,6.96,30.45,0.07,0.00,12.00,0.00,93.25
173,2.86,14.78,0.56,9.60,20.37,5.00,0.46,14.00,43.89,9.71,17.93,0.09,0.00,12.00,0.00,82.33
174,16.78,73.40,0.40,5.91,19.44,5.00,0.31,44.00,45.39,8.37,70.52,0.07,0.00,16.00,0.00,92.03
175,11.93,46.99,0.39,6.79,20.50,6.00,0.48,31.00,36.48,7.62,48.95,0.11,2.00,24.00,0.00,92.91
176,4.42,19.55,0.37,7.55,21.70,6.00,0.44,17.00,43.67,8.33,24.19,0.11,0.00,3.00,0.00,89.60
177,8.22,36.89,0.26,4.94,20.78,5.00,0.56,23.00,39.34,7.53,38.16,0.09,0.00,19.00,0.00,89.15
178,6.14,27.71,0.45,7.29,18.60,6.00,0.98,18.00,40.44,9.93,32.24,0.17,0.00,0.00,0.00,86.83
179,6.48,27.35,0.19,4.16,20.12,3.00,0.58,28.00,35.62,6.76,31.39,0.11,0.00,9.00,1.00,90.74
180,12.36,50.60,0.36,7.44,21.38,7.00,0.48,26.00,41.17,7.84,55.79,0.12,0.00,5.00,0.00,100.27
181,6.85,27.39,0.28,6.43,17.24,5.00,0.29,20.00,36.34,7.70,29.86,0.06,0.00,15.00,0.00,93.09
182,3.59,16.00,0.22,5.15,23.17,4.00,0.54,13.00,36.22,7.31,19.86,0.11,0.00,6.00,0.00,85.60
183,4.49,18.52,0.20,4.64,18.66,3.00,0.32,21.00,34.87,5.75,22.25,0.06,2.00,9.00,0.00,88.29
184,2.64,13.77,0.23,5.26,16.36,3.00,0.29,13.00,35.74,6.09,16.09,0.05,0.00,3.00,0.00,80.07
185,6.01,28.63,0.29,5.32,21.17,3.00,0.26,19.00,41.16,8.86,32.03,0.06,0.00,8.00,0.00,90.36
186,10.93,42.10,0.19,4.42,18.23,4.00,0.34,28.00,38.30,6.63,46.45,0.08,0.00,7.00,0.00,99.01
187,2.66,12.94,0.24,5.46,16.76,3.00,0.26,12.00,42.90,7.95,15.53,0.06,0.00,0.00,0.00,80.06
188,3.17,14.37,0.13,3.91,19.51,3.00,0.50,13.00,38.79,6.48,19.42,0.12,0.00,2.00,0.00,87.15
189,5.89,26.08,0.60,7.87,18.24,5.00,0.36,18.00,47.53,10.16,31.19,0.07,0.00,6.00,0.00,95.59
190,5.44,20.69,0.21,3.44,21.69,3.00,0.37,26.00,38.79,6.55,23.92,0.08,0.00,22.00,0.00,91.64
191,4.58,20.20,0.11,3.85,19.12,3.00,0.43,18.00,34.57,6.88,22.61,0.09,0.00,3.00,0.00,89.65
192,6.41,24.33,0.24,6.37,21.68,4.00,0.40,25.00,38.08,7.82,26.98,0.10,0.00,21.00,0.00,91.43
193,6.04,24.75,0.21,4.37,17.75,3.00,0.30,21.00,35.01,6.61,28.55,0.09,0.00,0.00,0.00,90.62
194,4.45,20.81,0.33,5.52,20.58,4.00,0.35,18.00,45.16,7.64,23.31,0.06,0.00,9.00,0.00,88.18
195,5.20,24.16,0.18,4.05,16.12,4.00,0.25,17.00,35.60,5.98,25.87,0.06,0.00,7.00,0.00,83.92
196,7.45,29.03,0.54,8.03,21.53,6.00,0.59,21.00,43.53,10.11,33.57,0.13,0.00,5.00,0.00,91.26
197,6.01,24.12,0.69,8.73,21.99,7.00,0.47,18.00,46.45,10.64,28.64,0.11,0.00,6.00,0.00,94.60
198,7.36,30.35,0.35,8.11,21.07,4.00,0.65,18.00,42.10,7.75,37.10,0.11,0.00,4.00,0.00,96.73
199,6.21,24.21,0.31,5.28,21.61,4.00,0.54,21.00,37.99,7.30,27.34,0.11,0.00,0.00,0.00,90.16
200,4.35,20.34,0.33,6.74,21.67,4.00,0.70,15.00,40.32,8.00,25.26,0.13,0.00,2.00,0.00,91.43
201,7.04,29.38,0.33,6.31,20.47,4.00,0.50,25.00,42.18,8.42,34.54,0.09,0.00,8.00,0.00,93.37
202,5.11,22.71,0.39,6.76,22.66,6.00,0.52,21.00,47.68,7.40,25.90,0.11,0.00,1.00,0.00,88.36
203,9.47,37.20,0.37,7.10,20.87,5.00,0.54,28.00,44.91,9.02,38.29,0.13,0.00,16.00,0.00,92.24
204,11.53,47.82,0.29,5.75,21.40,5.00,0.49,33.00,41.42,7.28,49.78,0.10,0.00,13.00,0.00,95.03
205,4.73,21.17,0.20,6.05,13.83,5.00,0.43,16.00,30.70,5.97,25.07,0.06,0.00,11.00,0.00,89.84
206,12.74,52.71,0.24,4.40,18.58,3.00,0.34,29.00,39.31,6.71,55.05,0.09,0.00,1.00,0.00,95.03
207,2.83,12.44,0.39,6.85,20.55,4.00,0.44,17.00,41.63,9.56,15.86,0.09,0.00,0.00,0.00,81.60
