Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,3.55,18.14,0.32,5.97,20.99,5.00,0.73,13.00,42.10,7.78,22.60,0.17,0.00,0.00,0.00,85.24
2,5.91,24.05,0.31,5.36,19.89,5.00,0.51,19.00,44.40,8.94,28.08,0.08,0.00,0.00,0.00,95.26
3,11.35,44.73,0.24,5.31,16.75,4.00,0.42,34.00,38.71,8.31,46.34,0.10,0.00,0.00,0.00,96.15
4,2.21,11.15,0.23,4.23,13.19,3.00,0.05,9.00,35.96,5.92,13.38,0.01,0.00,0.00,0.00,80.37
5,3.86,20.47,0.32,6.61,22.50,7.00,0.64,16.00,42.01,9.12,22.24,0.11,0.00,0.00,0.00,86.24
6,10.69,45.21,0.31,6.47,23.68,5.00,0.64,38.00,41.04,9.18,48.32,0.13,0.00,0.00,0.00,96.68
7,13.17,60.48,0.31,6.42,20.71,4.00,0.45,46.00,34.59,7.55,56.80,0.08,0.00,0.00,0.00,97.57
8,17.61,69.87,0.27,5.92,20.01,7.00,0.83,36.00,36.24,8.96,73.01,0.16,0.00,0.00,0.00,102.07
9,12.20,46.87,0.28,5.44,19.86,5.00,0.47,27.00,40.62,7.02,48.77,0.11,0.00,0.00,0.00,94.75
10,11.42,48.31,0.38,5.92,22.12,4.00,0.52,34.00,48.03,9.02,51.43,0.11,0.00,0.00,0.00,91.71
11,4.42,17.64,0.64,10.86,24.09,9.00,0.47,15.00,47.44,11.16,21.10,0.11,0.00,0.00,0.00,92.50
12,3.26,15.66,0.26,6.70,24.02,4.00,0.91,15.00,40.88,7.89,20.50,0.19,0.00,0.00,0.00,88.10
13,6.44,27.42,0.77,10.45,21.67,8.00,0.59,18.00,48.12,11.39,30.31,0.13,0.00,0.00,0.00,94.60
14,9.13,39.66,0.32,7.02,19.77,4.00,0.39,30.00,38.39,8.06,41.23,0.08,0.00,0.00,0.00,94.17
