Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
15,5.77,27.21,0.26,4.59,20.80,4.00,0.60,26.00,37.25,7.51,28.35,0.12,0.00,0.00,0.00,88.10
16,6.01,27.26,0.22,5.48,19.04,3.00,0.37,20.00,40.25,7.10,31.07,0.07,0.00,0.00,0.00,91.20
17,10.13,42.24,0.55,9.78,22.82,6.00,0.71,23.00,44.89,10.02,48.20,0.14,0.00,0.00,0.00,101.48
18,5.71,27.80,0.18,2.99,19.14,3.00,0.32,22.00,35.08,5.55,28.71,0.06,0.00,0.00,0.00,83.27
19,6.58,27.21,0.58,7.84,22.03,6.00,0.39,18.00,45.35,9.50,30.64,0.10,0.00,0.00,0.00,94.13
20,4.51,18.87,0.51,6.42,22.82,8.00,0.62,16.00,44.96,8.43,24.61,0.12,0.00,0.00,0.00,94.04
21,4.51,22.56,0.18,4.90,16.08,4.00,0.34,25.00,33.51,6.63,22.97,0.06,0.00,0.00,0.00,83.13
22,2.59,12.36,0.23,4.75,20.51,3.00,0.35,13.00,43.64,8.36,15.01,0.08,0.00,0.00,0.00,80.63
23,3.16,15.54,0.23,5.03,23.62,5.00,0.58,14.00,36.07,8.09,18.47,0.13,0.00,0.00,0.00,83.94
24,12.06,51.84,0.64,10.97,19.76,10.00,0.68,28.00,44.48,10.80,53.01,0.14,0.00,0.00,0.00,90.48
25,17.65,64.09,0.58,8.23,20.66,7.00,0.39,34.00,43.85,11.25,65.97,0.09,0.00,0.00,0.00,97.30
26,3.90,18.76,0.20,3.26,23.47,4.00,0.38,17.00,37.86,6.95,23.21,0.09,0.00,0.00,0.00,86.07
27,4.46,22.04,0.35,6.94,16.60,6.00,0.34,20.00,42.15,7.14,24.28,0.10,0.00,0.00,0.00,82.76
28,3.71,15.64,0.31,5.63,22.56,4.00,0.60,14.00,40.71,8.41,18.69,0.11,0.00,0.00,0.00,88.02
29,13.99,60.06,0.15,3.26,26.15,3.00,0.63,44.00,34.22,6.44,55.88,0.14,0.00,0.00,0.00,101.40
30,5.01,21.45,0.25,3.82,17.94,3.00,0.59,18.00,41.24,8.18,24.52,0.13,0.00,0.00,0.00,87.35
31,11.37,47.23,0.13,3.93,17.32,3.00,0.31,28.00,32.30,5.73,55.24,0.05,0.00,0.00,0.00,100.01
32,5.48,24.43,0.33,5.44,20.59,4.00,0.36,16.00,42.86,7.46,29.42,0.08,0.00,0.00,0.00,89.27
33,5.23,22.43,0.38,5.44,23.82,7.00,0.59,17.00,45.25,7.92,24.95,0.13,0.00,0.00,0.00,91.86
34,5.11,21.29,0.44,7.66,21.19,5.00,0.45,16.00,46.24,9.67,24.84,0.09,0.00,0.00,0.00,90.57
35,20.17,84.89,0.35,8.98,20.39,7.00,0.56,36.00,42.78,8.39,88.38,0.11,0.00,0.00,0.00,106.65
36,7.20,29.46,0.35,6.31,19.86,6.00,0.44,23.00,42.42,8.13,32.32,0.09,0.00,0.00,0.00,95.75
37,4.69,19.96,0.19,3.68,23.75,3.00,0.70,16.00,43.41,8.25,22.22,0.12,0.00,0.00,0.00,93.19
38,8.99,36.63,0.24,5.49,22.08,5.00,0.50,24.00,36.37,7.75,38.40,0.11,0.00,0.00,0.00,101.17
39,6.09,29.94,0.22,4.60,20.72,3.00,0.48,19.00,37.88,7.33,31.63,0.09,0.00,0.00,0.00,92.01
40,4.82,21.91,0.25,5.11,18.66,4.00,0.26,15.00,38.71,6.98,25.08,0.06,0.00,0.00,0.00,88.31
41,8.39,35.86,0.16,3.84,19.18,3.00,0.37,29.00,38.79,7.33,36.45,0.09,0.00,0.00,0.00,95.59
42,3.22,16.18,0.20,4.85,16.54,5.00,0.29,13.00,36.72,5.77,20.09,0.06,0.00,0.00,0.00,82.77
43,5.03,21.40,0.33,5.60,23.06,4.00,0.60,20.00,44.55,8.58,26.88,0.11,0.00,0.00,0.00,89.50
44,2.60,11.90,0.63,11.22,19.78,8.00,0.64,13.00,39.67,10.88,14.93,0.12,0.00,0.00,0.00,82.21
45,3.94,17.54,0.35,5.87,24.64,5.00,0.54,14.00,45.94,8.22,20.31,0.09,0.00,0.00,0.00,92.68
46,10.59,49.13,0.27,6.12,19.05,6.00,0.39,27.00,30.55,6.71,51.99,0.10,0.00,0.00,0.00,92.50
47,8.14,33.42,0.32,5.84,18.22,6.00,0.55,24.00,42.33,7.97,35.76,0.09,0.00,0.00,0.00,95.10
48,4.54,19.02,0.14,3.08,17.63,3.00,0.46,16.00,34.57,5.83,21.80,0.08,0.00,0.00,0.00,88.94
49,8.31,37.57,0.22,5.25,18.04,3.00,0.25,28.00,39.63,7.13,41.18,0.06,0.00,0.00,0.00,98.49
50,26.07,106.41,0.18,3.96,25.33,3.00,0.79,57.00,35.30,6.74,111.57,0.18,0.00,0.00,0.00,109.53
51,4.62,18.63,0.32,5.33,18.58,3.00,0.22,18.00,40.11,7.99,20.14,0.05,0.00,0.00,0.00,90.92
52,4.83,23.04,0.05,2.11,18.79,2.00,0.81,16.00,26.85,5.73,26.37,0.14,0.00,0.00,0.00,85.30
53,16.05,69.21,0.25,5.85,21.43,4.00,0.55,36.00,38.19,7.47,77.10,0.11,0.00,0.00,0.00,99.35
54,3.28,16.02,0.39,7.35,18.53,6.00,0.30,16.00,38.93,8.49,19.16,0.07,0.00,0.00,0.00,81.74
55,1.85,9.66,0.23,6.75,19.13,3.00,0.42,9.00,36.49,8.44,13.56,0.09,0.00,0.00,0.00,78.15
56,11.39,47.21,0.34,6.63,19.17,5.00,0.44,26.00,42.56,8.37,51.62,0.10,0.00,0.00,0.00,102.93
57,5.48,26.82,0.22,6.16,20.08,4.00,0.74,25.00,31.83,6.23,30.78,0.16,0.00,0.00,0.00,87.50
58,10.20,45.04,0.47,7.82,18.53,6.00,0.60,23.00,38.26,9.75,49.61,0.10,0.00,0.00,0.00,94.14
59,8.35,34.27,0.31,6.88,19.14,4.00,0.93,24.00,39.67,8.91,39.57,0.18,0.00,0.00,0.00,94.29
60,3.05,16.24,0.39,6.17,20.84,5.00,0.65,12.00,44.21,9.95,19.00,0.13,0.00,0.00,0.00,83.91
61,2.85,13.77,0.41,8.02,21.97,4.00,0.64,13.00,44.88,9.41,16.60,0.14,0.00,0.00,0.00,80.87
62,6.73,30.34,0.39,6.15,18.28,6.00,0.38,22.00,43.84,8.43,35.57,0.07,0.00,0.00,0.00,92.79
63,5.73,23.11,0.26,5.89,25.82,4.00,0.76,17.00,40.65,7.59,28.01,0.15,0.00,0.00,0.00,100.51
64,12.30,50.22,0.43,8.47,16.90,5.00,0.31,30.00,41.27,8.47,51.36,0.06,0.00,0.00,0.00,94.51
65,7.00,29.34,0.30,6.45,17.08,4.00,0.14,21.00,36.56,7.87,31.62,0.04,0.00,0.00,0.00,94.90
66,4.09,17.88,0.28,6.26,19.27,5.00,0.23,18.00,37.98,7.60,21.68,0.05,0.00,0.00,0.00,94.70
67,2.44,11.88,0.25,4.49,20.67,4.00,0.37,11.00,37.75,7.46,14.44,0.10,0.00,0.00,0.00,80.13
68,4.16,19.74,0.19,5.23,22.65,4.00,0.81,16.00,35.24,9.12,21.98,0.16,0.00,0.00,0.00,81.22
69,13.67,63.28,0.23,5.08,23.41,3.00,0.41,39.00,42.33,8.33,62.88,0.07,0.00,0.00,0.00,102.06
70,2.55,13.40,0.22,4.38,18.48,3.00,0.39,12.00,41.25,6.60,16.82,0.09,0.00,0.00,0.00,83.40
71,4.18,20.63,0.16,3.99,25.06,4.00,0.85,20.00,29.82,6.10,22.94,0.17,0.00,0.00,0.00,89.26
72,20.25,78.91,0.29,7.34,23.16,5.00,0.42,36.00,37.86,9.06,83.47,0.09,0.00,0.00,0.00,106.53
73,4.19,19.67,0.40,8.00,17.55,5.00,0.27,13.00,43.46,9.84,23.02,0.07,0.00,0.00,0.00,95.78
74,20.71,77.80,0.32,6.76,17.39,4.00,0.42,40.00,44.09,8.91,82.52,0.09,0.00,0.00,0.00,108.37
75,3.83,18.57,0.22,4.73,18.86,3.00,0.27,14.00,41.11,7.55,20.64,0.06,0.00,0.00,0.00,82.94
76,12.92,51.31,0.32,5.15,20.26,4.00,0.47,37.00,42.01,8.97,53.39,0.08,0.00,0.00,0.00,95.91
77,7.75,28.83,0.38,7.22,21.56,4.00,0.78,17.00,47.59,9.18,32.06,0.16,0.00,0.00,0.00,95.27
78,12.77,55.73,0.42,7.29,22.02,5.00,0.59,41.00,49.43,10.56,60.65,0.13,0.00,0.00,0.00,100.92
79,6.94,29.85,0.31,7.33,22.63,7.00,0.62,25.00,35.48,7.84,33.28,0.13,0.00,0.00,0.00,95.90
80,11.59,44.78,0.30,7.62,19.51,5.00,0.66,39.00,38.94,8.06,49.25,0.13,0.00,0.00,0.00,97.26
81,16.51,63.93,0.20,6.01,20.49,3.00,0.37,36.00,34.74,8.35,70.14,0.09,0.00,0.00,0.00,103.87
82,5.46,23.41,0.11,3.12,20.13,2.00,0.45,21.00,32.56,6.20,24.00,0.09,0.00,0.00,0.00,89.19
83,7.63,34.02,0.23,6.02,21.05,4.00,0.76,29.00,33.87,7.08,35.02,0.15,0.00,0.00,0.00,93.11
84,4.41,19.90,0.16,4.75,18.57,3.00,0.21,13.00,34.32,5.76,23.55,0.04,0.00,0.00,0.00,92.10
85,5.51,26.69,0.12,4.04,20.45,2.00,0.32,15.00,32.62,6.50,26.07,0.06,0.00,0.00,0.00,87.97
86,4.16,19.33,0.14,3.74,17.01,4.00,0.24,19.00,32.85,5.58,22.11,0.05,0.00,0.00,0.00,89.03
87,19.10,90.14,0.27,6.60,22.32,4.00,0.66,55.00,34.40,8.19,95.15,0.12,0.00,0.00,0.00,111.20
88,24.14,105.83,0.35,6.40,19.19,4.00,0.42,51.00,39.39,7.01,104.51,0.09,0.00,0.00,0.00,99.89
89,9.08,37.16,0.32,7.58,18.85,6.00,0.41,23.00,35.08,8.66,40.68,0.09,0.00,0.00,0.00,100.03
90,12.57,56.43,0.28,6.15,23.02,5.00,0.63,34.00,41.21,9.23,55.87,0.12,0.00,0.00,0.00,95.70
91,4.48,18.92,0.17,4.73,16.26,3.00,0.34,16.00,33.69,7.32,21.10,0.06,0.00,0.00,0.00,83.39
92,2.63,13.41,0.20,4.52,23.21,5.00,0.38,11.00,39.85,6.78,16.11,0.08,0.00,0.00,0.00,85.70
93,18.02,79.18,0.33,6.45,18.71,5.00,0.37,49.00,39.11,7.52,69.90,0.09,0.00,0.00,0.00,101.59
94,8.08,34.09,0.31,6.93,18.91,5.00,0.36,27.00,38.63,7.49,33.36,0.08,0.00,0.00,0.00,96.71
95,9.43,37.35,0.49,7.81,21.22,5.00,0.43,29.00,43.68,9.57,39.91,0.09,0.00,0.00,0.00,99.96
96,21.71,96.64,0.26,4.26,18.93,3.00,0.32,53.00,41.37,6.85,101.66,0.07,0.00,0.00,0.00,104.82
97,9.18,39.80,0.21,5.82,17.84,3.00,0.53,30.00,34.51,8.41,41.71,0.10,0.00,0.00,0.00,97.81
98,5.79,23.17,0.26,7.76,21.71,4.00,0.49,17.00,39.54,10.52,27.99,0.11,0.00,0.00,0.00,91.65
99,5.16,22.70,0.24,5.27,19.51,4.00,0.43,17.00,30.62,6.38,27.80,0.06,0.00,0.00,0.00,90.41
100,9.48,39.13,0.20,4.56,16.80,3.00,0.24,30.00,36.37,6.79,41.90,0.05,0.00,0.00,0.00,90.68
101,4.68,21.89,0.24,5.13,16.35,4.00,0.36,18.00,37.26,8.30,23.77,0.07,0.00,0.00,0.00,88.96
102,10.23,40.36,0.21,4.08,23.07,3.00,0.73,33.00,37.37,7.43,47.89,0.17,0.00,0.00,0.00,99.18
103,4.89,20.41,0.23,5.49,17.87,4.00,0.24,19.00,36.27,7.55,23.37,0.04,0.00,0.00,0.00,87.14
104,17.56,70.48,0.17,4.19,19.68,3.00,0.22,37.00,34.17,6.78,75.37,0.04,0.00,0.00,0.00,104.02
105,4.81,24.34,0.44,7.02,21.04,5.00,0.53,19.00,49.46,10.84,23.77,0.10,0.00,0.00,0.00,79.58
106,6.64,29.30,0.37,7.16,19.20,6.00,0.21,24.00,44.05,8.77,32.41,0.05,0.00,0.00,0.00,92.01
107,11.40,47.53,0.27,5.48,17.67,3.00,0.21,29.00,42.45,7.59,50.54,0.05,0.00,0.00,0.00,97.38
108,9.34,41.86,0.24,5.09,16.47,4.00,0.36,28.00,35.13,8.65,44.63,0.08,0.00,0.00,0.00,94.73
109,4.86,21.48,0.17,4.79,19.99,3.00,0.54,25.00,36.87,6.97,23.82,0.11,0.00,0.00,0.00,87.62
110,3.45,15.77,0.16,4.30,18.91,4.00,0.44,20.00,30.80,5.94,18.45,0.07,0.00,0.00,0.00,82.08
111,14.92,57.19,0.36,7.25,19.47,5.00,0.57,25.00,38.23,8.00,64.61,0.13,0.00,0.00,0.00,101.20
112,13.18,56.87,0.36,6.63,19.89,6.00,0.35,41.00,41.76,8.30,55.59,0.08,0.00,0.00,0.00,100.94
113,6.94,33.36,0.33,5.71,22.67,5.00,0.52,23.00,41.56,9.17,35.03,0.12,0.00,0.00,0.00,94.12
114,6.20,31.11,0.18,4.74,17.44,3.00,0.33,18.00,34.46,6.30,35.11,0.06,0.00,0.00,0.00,90.39
115,11.74,48.97,0.16,4.41,23.64,3.00,0.91,25.00,32.97,6.56,52.89,0.18,0.00,0.00,0.00,102.27
116,15.19,58.46,0.18,4.51,21.39,3.00,0.48,33.00,34.00,7.08,64.25,0.10,0.00,0.00,0.00,102.06
117,11.92,46.62,0.25,5.91,19.02,5.00,0.48,31.00,38.85,7.63,47.57,0.10,0.00,0.00,0.00,95.40
118,7.96,34.72,0.25,5.13,18.46,4.00,0.44,31.00,38.59,7.46,39.93,0.09,0.00,0.00,0.00,94.04
119,14.47,58.13,0.17,4.45,21.99,4.00,0.62,34.00,29.59,6.50,61.23,0.09,0.00,0.00,0.00,102.07
120,6.46,24.55,0.38,6.93,21.24,5.00,0.48,16.00,40.81,8.10,29.37,0.08,0.00,0.00,0.00,101.99
121,7.62,29.74,0.24,5.57,17.39,5.00,0.31,22.00,38.90,8.05,35.67,0.06,0.00,0.00,0.00,91.54
122,4.63,20.96,0.38,7.14,21.97,4.00,0.66,14.00,40.68,9.82,25.14,0.13,0.00,0.00,0.00,90.67
123,23.47,100.33,0.40,5.94,21.92,4.00,0.67,53.00,44.06,8.12,106.25,0.14,0.00,0.00,0.00,106.42
124,17.43,66.77,0.29,5.71,20.30,4.00,0.37,31.00,38.41,7.78,72.95,0.08,0.00,0.00,0.00,102.29
125,4.79,20.64,0.56,8.29,19.44,7.00,0.42,14.00,45.89,8.79,25.23,0.12,0.00,0.00,0.00,95.96
126,17.37,65.79,0.50,9.80,20.16,8.00,0.45,43.00,43.26,9.93,70.19,0.09,0.00,0.00,0.00,98.37
127,4.34,19.79,0.40,6.45,18.77,5.00,0.28,16.00,43.16,8.21,22.40,0.07,0.00,0.00,0.00,85.15
128,5.97,25.46,0.20,4.07,30.85,4.00,1.40,24.00,33.73,8.21,29.66,0.27,0.00,0.00,0.00,100.17
129,14.01,63.00,0.18,4.88,22.18,3.00,0.50,42.00,35.33,7.05,60.09,0.07,0.00,0.00,0.00,96.69
130,8.52,36.37,0.14,4.03,21.08,4.00,0.77,19.00,29.36,6.66,34.94,0.15,0.00,0.00,0.00,98.17
131,21.74,81.37,0.29,5.76,21.36,4.00,0.52,44.00,44.49,8.86,88.92,0.11,0.00,0.00,0.00,106.25
132,5.37,24.60,0.29,8.43,19.79,4.00,0.46,17.00,33.94,8.09,27.58,0.10,0.00,0.00,0.00,88.27
133,14.19,63.78,0.26,5.94,20.47,4.00,0.37,30.00,38.45,6.54,67.06,0.09,0.00,0.00,0.00,96.69
134,3.80,18.20,0.30,6.34,23.34,5.00,0.70,13.00,37.70,9.01,22.51,0.14,0.00,0.00,0.00,89.81
135,5.38,22.16,0.15,3.59,17.92,3.00,0.73,19.00,35.17,6.05,24.31,0.15,0.00,0.00,0.00,89.80
136,2.73,13.79,0.18,5.38,19.38,4.00,0.58,10.00,37.32,7.04,17.19,0.12,0.00,0.00,0.00,84.86
137,6.49,28.50,0.26,5.42,20.05,4.00,0.24,23.00,39.07,8.38,32.64,0.06,0.00,0.00,0.00,88.93
138,4.15,18.63,0.30,7.19,18.00,4.00,0.32,16.00,36.35,8.95,21.21,0.06,0.00,0.00,0.00,83.42
139,7.34,30.28,0.24,4.64,23.01,3.00,0.83,20.00,42.01,7.69,32.51,0.17,0.00,0.00,0.00,89.66
140,15.52,66.93,0.52,13.61,17.99,9.00,0.18,41.00,38.15,9.31,69.46,0.04,0.00,0.00,0.00,93.51
141,4.93,23.40,0.16,3.91,15.20,3.00,0.21,22.00,33.73,6.43,21.43,0.05,0.00,0.00,0.00,89.31
142,8.98,35.27,0.29,6.09,22.05,4.00,0.75,21.00,37.84,8.58,40.32,0.14,0.00,0.00,0.00,97.11
143,4.65,18.73,0.22,5.44,19.28,4.00,0.40,15.00,39.23,8.19,23.22,0.06,0.00,0.00,0.00,91.89
144,10.36,47.31,0.29,6.43,22.72,4.00,0.59,33.00,37.18,8.95,44.43,0.13,0.00,0.00,0.00,105.21
145,2.74,14.84,0.29,5.78,19.19,3.00,0.31,15.00,36.80,8.21,16.68,0.06,0.00,0.00,0.00,84.32
146,4.72,20.10,0.24,6.46,18.16,5.00,0.24,24.00,38.62,6.47,22.60,0.07,0.00,0.00,0.00,93.87
147,6.24,27.16,0.19,3.34,18.08,4.00,0.36,24.00,36.75,6.58,28.57,0.09,0.00,0.00,0.00,88.00
148,7.66,37.16,0.39,6.61,20.32,4.00,0.54,32.00,45.94,8.95,36.22,0.11,0.00,0.00,0.00,89.07
149,5.25,26.55,0.18,5.61,21.73,3.00,0.61,22.00,37.00,7.66,30.29,0.14,0.00,0.00,0.00,94.92
150,3.70,17.51,0.15,3.14,22.53,2.00,0.67,16.00,37.23,6.53,19.79,0.14,0.00,0.00,0.00,83.63
151,4.14,17.92,0.19,4.57,21.27,3.00,0.29,16.00,35.48,5.86,20.63,0.07,0.00,0.00,0.00,88.87
152,8.50,34.85,0.27,5.86,19.07,4.00,0.37,25.00,40.30,7.05,39.18,0.10,0.00,0.00,0.00,97.49
153,7.65,40.89,0.28,5.68,18.59,4.00,0.40,32.00,37.94,7.19,37.48,0.08,0.00,0.00,0.00,96.03
154,6.13,27.15,0.43,8.30,14.86,6.00,0.31,25.00,37.43,8.64,28.01,0.07,0.00,0.00,0.00,93.01
155,12.05,49.26,0.11,3.76,22.14,2.00,0.58,35.00,36.81,7.98,52.20,0.12,0.00,0.00,0.00,99.46
156,5.00,21.73,0.32,7.47,19.28,5.00,0.23,18.00,44.69,8.62,25.78,0.06,0.00,0.00,0.00,90.93
157,3.78,17.44,0.20,4.81,16.61,3.00,0.32,24.00,34.26,7.47,21.19,0.07,0.00,0.00,0.00,83.21
158,3.28,16.66,0.16,3.75,16.29,3.00,0.28,16.00,37.66,7.16,21.47,0.05,0.00,0.00,0.00,88.12
159,22.70,102.23,0.32,5.98,21.08,4.00,0.43,56.00,39.12,7.64,96.21,0.09,0.00,0.00,0.00,96.49
160,7.71,39.61,0.44,6.41,19.44,5.00,0.31,22.00,44.47,9.74,39.27,0.05,0.00,0.00,0.00,88.41
161,7.26,33.83,0.21,5.08,17.96,4.00,0.45,20.00,37.88,7.90,37.98,0.10,0.00,0.00,0.00,94.13
162,16.58,61.11,0.54,9.70,21.08,6.00,0.40,32.00,50.75,10.98,64.60,0.09,0.00,0.00,0.00,103.61
163,5.82,23.38,0.18,5.23,20.03,3.00,0.34,16.00,33.14,6.83,28.28,0.06,0.00,0.00,0.00,92.01
164,3.46,17.37,0.33,6.00,16.95,5.00,0.34,17.00,39.82,8.05,18.91,0.07,0.00,0.00,0.00,84.47
165,11.47,43.70,0.29,6.31,22.78,5.00,0.44,26.00,41.28,8.96,48.32,0.10,0.00,0.00,0.00,99.21
166,4.81,20.94,0.39,6.04,23.98,5.00,1.07,14.00,47.74,9.77,25.27,0.24,0.00,0.00,0.00,93.68
167,3.30,14.84,0.24,6.26,20.32,5.00,0.53,10.00,38.36,7.68,19.15,0.09,0.00,0.00,0.00,90.27
168,10.46,44.18,0.24,4.61,18.08,4.00,0.47,31.00,41.71,7.08,47.71,0.09,0.00,0.00,0.00,98.79
169,5.41,23.95,0.46,7.65,20.78,6.00,0.58,19.00,45.10,9.27,26.52,0.11,0.00,0.00,0.00,90.86
170,7.67,30.77,0.40,7.11,21.59,4.00,0.64,22.00,45.82,9.85,35.85,0.13,0.00,0.00,0.00,95.59
171,5.25,25.06,0.33,11.92,17.89,8.00,0.26,21.00,31.51,6.00,27.09,0.06,0.00,0.00,0.00,94.00
172,21.03,86.77,0.15,3.26,19.94,3.00,0.45,41.00,36.43,6.35,90.68,0.09,0.00,0.00,0.00,101.80
173,6.29,29.05,0.12,3.33,21.60,2.00,0.44,23.00,33.76,6.27,31.96,0.10,0.00,0.00,0.00,94.72
174,2.94,17.66,0.26,5.40,25.13,5.00,1.22,13.00,34.84,7.60,18.63,0.24,0.00,0.00,0.00,83.18
175,8.28,34.25,0.26,6.07,23.93,4.00,0.70,22.00,39.51,8.36,39.14,0.14,0.00,0.00,0.00,90.52
176,3.86,17.26,0.29,5.82,17.36,4.00,0.35,21.00,43.73,8.01,19.80,0.06,0.00,0.00,0.00,88.91
177,5.26,21.83,0.68,9.40,20.50,6.00,0.34,22.00,47.91,10.25,25.32,0.08,0.00,0.00,0.00,84.59
178,4.40,17.87,0.27,5.82,19.58,4.00,0.54,16.00,38.43,8.19,21.83,0.10,0.00,0.00,0.00,94.69
179,7.11,30.93,0.40,7.18,18.21,5.00,0.69,21.00,42.65,9.95,32.58,0.12,0.00,0.00,0.00,94.51
180,4.60,20.25,0.58,8.28,20.38,7.00,0.80,16.00,45.55,9.32,22.87,0.16,0.00,0.00,0.00,90.62
181,3.89,18.59,0.23,5.03,23.73,3.00,0.66,17.00,43.75,8.53,20.79,0.16,0.00,0.00,0.00,85.13
182,4.80,22.56,0.19,5.54,18.39,5.00,0.40,17.00,33.50,5.77,25.42,0.08,0.00,0.00,0.00,91.12
183,5.17,22.49,0.46,8.69,26.17,5.00,0.82,16.00,41.21,10.36,25.31,0.16,0.00,0.00,0.00,93.16
184,21.18,86.58,0.28,6.45,21.26,7.00,0.53,51.00,34.96,7.53,90.09,0.12,0.00,0.00,0.00,112.50
185,6.30,30.06,0.18,3.89,19.68,4.00,0.57,22.00,36.91,7.21,34.46,0.13,0.00,0.00,0.00,84.33
186,7.73,40.75,0.52,8.55,18.76,7.00,0.27,28.00,46.03,10.89,43.00,0.05,0.00,0.00,0.00,94.39
187,17.87,75.73,0.56,7.53,16.51,6.00,0.28,38.00,49.88,10.47,76.73,0.08,0.00,0.00,0.00,94.31
188,14.41,62.90,0.23,5.20,23.77,5.00,0.30,49.00,37.97,7.08,69.82,0.08,0.00,0.00,0.00,109.73
189,3.36,18.11,0.24,4.29,20.35,4.00,0.37,15.00,41.47,7.95,20.37,0.06,0.00,0.00,0.00,86.04
190,12.38,58.91,0.20,4.04,17.73,3.00,0.38,36.00,36.76,6.96,57.97,0.07,0.00,0.00,0.00,94.78
191,6.54,27.32,0.31,6.26,16.19,4.00,0.30,22.00,41.96,8.72,30.32,0.06,0.00,0.00,0.00,94.73
192,12.48,51.01,0.29,6.20,22.96,4.00,0.52,27.00,41.13,7.10,55.79,0.13,0.00,0.00,0.00,98.21
193,3.79,16.16,0.18,4.64,17.61,4.00,0.29,18.00,33.91,6.40,18.33,0.06,0.00,0.00,0.00,87.13
194,3.83,18.87,0.15,4.57,20.18,3.00,0.53,19.00,33.31,6.25,21.52,0.10,0.00,0.00,0.00,85.95
195,4.13,19.81,0.27,5.61,23.11,4.00,0.66,16.00,32.47,8.32,23.29,0.16,0.00,0.00,0.00,93.59
196,14.22,57.63,0.28,6.22,22.87,6.00,0.55,30.00,40.57,8.35,64.74,0.13,0.00,0.00,0.00,101.71
197,8.40,40.14,0.37,6.36,18.57,6.00,0.46,26.00,44.06,7.85,40.62,0.10,0.00,0.00,0.00,94.01
198,4.16,18.09,0.24,5.25,21.14,3.00,0.39,14.00,31.78,7.32,22.71,0.10,0.00,0.00,0.00,94.34
199,16.27,65.32,0.69,10.18,20.10,7.00,0.31,29.00,50.94,11.59,70.03,0.06,0.00,0.00,0.00,107.16
200,6.30,28.13,0.22,4.65,20.34,5.00,0.29,21.00,34.80,6.57,30.63,0.08,0.00,0.00,0.00,94.56
201,4.88,24.28,0.25,5.31,20.72,4.00,0.38,17.00,41.55,7.64,26.04,0.09,0.00,0.00,0.00,87.72
202,11.63,43.56,0.23,5.07,25.42,4.00,0.83,32.00,40.90,7.19,47.95,0.17,0.00,0.00,0.00,100.08
203,5.24,23.98,0.29,7.87,19.58,4.00,0.38,19.00,34.88,9.50,29.04,0.07,0.00,0.00,0.00,93.00
204,5.01,22.60,0.18,4.17,18.20,4.00,0.29,16.00,31.61,5.31,28.06,0.04,0.00,0.00,0.00,93.34
205,2.92,13.55,0.19,4.48,19.58,4.00,0.64,11.00,37.27,7.17,17.30,0.13,0.00,0.00,0.00,83.03
206,4.00,18.74,0.17,5.54,18.59,4.00,0.47,15.00,30.25,6.41,21.95,0.10,0.00,0.00,0.00,83.44
207,22.64,98.14,0.36,6.33,21.66,4.00,0.32,48.00,40.90,8.86,102.46,0.07,0.00,0.00,0.00,102.26
